id,reading,writing,reason,suggested_reading,suggested_writing,note
n1_egg_1922,さんがく,山岳,duplicate_same_n1_word,さんがく,山岳,Already present as n1_0772.
n1_egg_1931,ざっか,雑貨,duplicate_same_n1_word,ざっか,雑貨,Already present as n1_1196.
n1_egg_0359,しっかく,失格,duplicate_same_n1_word,しっかく,失格,Already present as n1_0998.
n1_egg_0746,しゃめん,斜面,duplicate_same_n1_word,しゃめん,斜面,Already present as n1_1106.
n1_egg_0947,しょうきょ,消去,duplicate_same_n1_word,しょうきょ,消去,Already present as n1_1712.
n1_egg_0494,しんぼう,辛抱,duplicate_same_n1_word,しんぼう,辛抱,Already present as n1_1713.
n1_egg_1124,じそんしん,自尊心,duplicate_same_n1_word,じそんしん,自尊心,Already present as n1_1639.
n1_egg_0717,そうじゅう,操縦,duplicate_same_n1_word,そうじゅう,操縦,Already present as n1_0942.
n1_egg_0055,そうび,装備,duplicate_same_n1_word,そうび,装備,Already present as n1_1548.
n1_egg_0740,ちゅうすう,中枢,duplicate_same_n1_word,ちゅうすう,中枢,Already present as n1_0860.
n1_egg_0267,とみ,富,duplicate_same_n1_word,とみ,富,Already present as n1_1459.
n1_egg_1930,とりつぐ,取り次ぐ,duplicate_same_n1_word,とりつぐ,取り次ぐ,Already present as n1_0956.
n1_egg_0220,にせもの,偽物,duplicate_same_n1_word,にせもの,偽物,Already present as n1_1970.
n1_egg_0453,はんぱ,半端,duplicate_same_n1_word,はんぱ,半端,Already present as n1_1110.
n1_egg_0348,ばくぜん,漠然,duplicate_same_n1_word,ばくぜん,漠然,Already present as n1_1910.
n1_egg_0800,ばくろ,暴露,duplicate_same_n1_word,ばくろ,暴露,Already present as n1_2069.
n1_1125,ひんぱん,頻繁,duplicate_same_n1_word,ひんぱん,頻繁,Already present as n1_0039.
n1_egg_0883,びょうしゃ,描写,duplicate_same_n1_word,びょうしゃ,描写,Already present as n1_1066.
n1_egg_2317,ふうど,風土,duplicate_same_n1_word,ふうど,風土,Already present as n1_0833.
n1_egg_2597,ぶんかざい,文化財,duplicate_same_n1_word,ぶんかざい,文化財,Already present as n1_1067.
n1_egg_0499,へいさ,閉鎖,duplicate_same_n1_word,へいさ,閉鎖,Already present as n1_1158.
n1_egg_0063,ほうかい,崩壊,duplicate_same_n1_word,ほうかい,崩壊,Already present as n1_0628.
n1_egg_0124,ほろぼす,滅ぼす,duplicate_same_n1_word,ほろぼす,滅ぼす,Already present as n1_1558.
n1_egg_0537,むかんしん,無関心,duplicate_same_n1_word,むかんしん,無関心,Already present as n1_1684.
n1_egg_0743,めつぼう,滅亡,duplicate_same_n1_word,めつぼう,滅亡,Already present as n1_1559.
n1_egg_1499,めんじょ,免除,duplicate_same_n1_word,めんじょ,免除,Already present as n1_1160.
n1_egg_1199,もほう,模倣,duplicate_same_n1_word,もほう,模倣,Already present as n1_1601.
n1_egg_0727,やりとげる,やり遂げる,duplicate_same_n1_word,やりとげる,やり遂げる,Already present as n1_1737.
n1_egg_0534,やわらぐ,和らぐ,duplicate_same_n1_word,やわらぐ,和らぐ,Already present as n1_1689.
n1_egg_2883,らくのう,酪農,duplicate_same_n1_word,らくのう,酪農,Already present as n1_1354.
