id,example_ja,example_zh
n2_0079,彼の研究は医療の発展に大きく貢献しました。,他的研究對醫療發展有很大貢獻。
n2_0080,会社は調査結果を公表しました。,公司公布了調查結果。
n2_0081,費用と時間を考慮して計画を立てました。,考量費用和時間後訂定了計畫。
n2_0082,この町は春、ことに桜の季節が美しいです。,這個城鎮春天特別美，尤其是櫻花季。
n2_0083,味の好みは人によって違います。,口味偏好因人而異。
n2_0084,この作業は二人で行うと早く終わります。,這項作業兩個人做會比較快完成。
n2_0085,警察は事故の死因を調べています。,警方正在調查事故的死因。
n2_0086,この店は安い。しかも、味もいいです。,這家店很便宜，而且味道也好。
n2_0087,この地域には高齢者向けの施設が多いです。,這個地區有很多面向高齡者的機構。
n2_0088,強い国が周辺地域を支配していました。,強大的國家曾支配周邊地區。
n2_0089,商品を受け取ってから料金を支払います。,收到商品後再付款。
n2_0090,誤字を見つけたので、資料を修正しました。,因為發現錯字，所以修改了資料。
n2_0091,時間がないので、細かい説明は省略します。,因為沒有時間，細節說明就省略。
n2_0092,冷凍食品を使うと夕食の準備が楽です。,使用冷凍食品準備晚餐會比較輕鬆。
n2_0093,約束を守ることで信頼を得られます。,遵守約定就能得到信任。
n2_0094,事態が悪化する前に対応しましょう。,在情況惡化前處理吧。
n2_0095,長年の夢がついに実現しました。,多年的夢想終於實現了。
n2_0096,この会社は社員の働きやすさを重視しています。,這家公司重視員工工作的舒適度。
n2_0097,この学校の教育水準は高いです。,這所學校的教育水準很高。
n2_0098,線を紙に対して垂直に引いてください。,請畫一條與紙面垂直的線。
n2_0099,学生たちは短い映画を制作しました。,學生們製作了一部短片。
n2_0100,条件がそろえば契約は成立します。,條件齊全的話契約就會成立。
n2_0101,忙しくても、せめて返事だけはしてください。,就算很忙，至少請回覆一下。
n2_0102,大学では心理学を専攻していました。,我大學主修心理學。
n2_0103,出張で大阪に三日間滞在しました。,因為出差在大阪停留了三天。
n2_0104,相手の立場に立って考えることが大切です。,站在對方的立場思考很重要。
n2_0105,彼には仕事でたびたび助けてもらいました。,工作上他屢次幫助我。
n2_0106,困ったときはみんなで知恵を出し合いましょう。,遇到困難時，大家一起想辦法吧。
n2_0107,申し込み人数が定員を超過しました。,報名人數超過名額了。
n2_0108,子どもは薬を飲むのに抵抗しました。,孩子抗拒吃藥。
n2_0109,レポートは金曜日までに提出してください。,報告請在星期五以前繳交。
n2_0110,彼女は状況を的確に判断しました。,她準確地判斷了情況。
n2_0111,作業を始める前に手順を確認してください。,開始作業前請確認步驟。
n2_0112,空を見ると、どうやら雨が降りそうです。,看天空，似乎快要下雨了。
n2_0113,台風のため、旅行の予約を取り消しました。,因為颱風，我取消了旅行預約。
n2_0114,この会社は独自の技術を持っています。,這家公司有獨特的技術。
n2_0115,締め切りまでに何とか資料を完成させました。,我想辦法在截止前完成了資料。
n2_0116,今日は何となく元気が出ません。,今天不知為何提不起精神。
n2_0117,彼は四月にこの会社へ入社しました。,他四月進了這家公司。
n2_0118,新しい部長が正式に任命されました。,新的部長已正式被任命。
n2_0119,まず全体の状況を把握してください。,請先掌握整體情況。
n2_0120,受付で資料を配布しています。,櫃台正在發放資料。
n2_0121,システムに問題が発生しました。,系統發生了問題。
n2_0122,この町は観光地として発展しました。,這個城鎮發展成了觀光地。
n2_0123,新商品は来週から販売されます。,新產品將從下週開始販售。
n2_0124,この計画には莫大な費用がかかります。,這個計畫需要龐大的費用。
n2_0125,健康のために甘い物を控えています。,為了健康，我正在節制甜食。
n2_0126,彼は遅れた分を取り戻そうと必死に勉強しました。,他為了追回落後的進度而拚命讀書。
n2_0127,この二つの色の違いは微妙です。,這兩個顏色的差異很微妙。
n2_0128,帰り道でふと昔の友達を思い出しました。,回家路上忽然想起以前的朋友。
n2_0129,一年の仕事を振り返って反省しました。,我回顧一年的工作並做了反省。
n2_0130,古い時計を分解して中を調べました。,我拆解舊鐘錶檢查內部。
n2_0131,本をテーマごとに分類しました。,我依主題把書分類。
n2_0132,準備はほぼ終わりました。,準備大致完成了。
n2_0133,生活のリズムが乱れて、朝起きられません。,生活作息亂了，早上起不來。
n2_0134,小さな変化を無視してはいけません。,不能忽略小變化。
n2_0135,目標を明確にしてから計画を立てます。,先把目標明確化後再訂計畫。
n2_0136,彼女は医者を目指して勉強しています。,她以成為醫師為目標正在讀書。
n2_0137,安全が最も大切です。,安全最重要。
n2_0138,彼は有能なエンジニアとして知られています。,他以能幹的工程師聞名。
n2_0139,慣れた作業でも油断しないでください。,即使是熟悉的作業也不要大意。
n2_0140,先生はレポートの再提出を許しました。,老師允許重新繳交報告。
n2_0141,説明を聞きながら要点をメモしました。,我一邊聽說明一邊記下重點。
n2_0142,水たまりを避けて歩きました。,我避開水坑走路。
n2_0143,彼は立派な医者になりました。,他成了一位出色的醫師。
n2_0144,インターネットで情報が素早く流通します。,資訊透過網路快速流通。
n2_0145,彼の説明は論理がはっきりしています。,他的說明邏輯很清楚。
n2_0146,彼はみんなを笑わせるために、わざと間違えました。,他為了逗大家笑，故意答錯。
n2_0147,彼の無責任な態度に呆れました。,我對他不負責任的態度感到傻眼。
n2_0148,時間がなくても焦らずに確認してください。,就算沒時間，也請不要著急，好好確認。
n2_0149,無理をしたせいで、体調が悪化しました。,因為勉強自己，身體狀況惡化了。
n2_0150,この荷物は壊れやすいので扱いに注意してください。,這件行李容易壞，請注意搬運方式。
n2_0151,強い風が庭を荒らしました。,強風吹亂了庭院。
n2_0152,薬を飲んで、痛みが幾分楽になりました。,吃了藥後，疼痛稍微緩和了。
n2_0153,一つの会社に依存しすぎるのは危険です。,過度依賴單一公司很危險。
n2_0154,話しているうちに、いつの間にか夜になっていました。,聊著聊著，不知不覺已經天黑了。
n2_0155,会議を円滑に進めるため、資料を先に配りました。,為了讓會議順利進行，先發了資料。
n2_0156,子どもが犬を追いかけています。,孩子正在追狗。
n2_0157,同じ間違いを二度と犯さないようにします。,我會避免再犯同樣的錯。
n2_0158,荷物は全部この箱に収まりました。,行李全部都收進這個箱子裡了。
n2_0159,彼は自分が正しいと思い込んでいます。,他深信自己是對的。
n2_0160,この問題には多くの人が関わりを持っています。,這個問題牽涉到很多人。
n2_0161,会場では各種の資料を配布しています。,會場正在發放各種資料。
n2_0162,この町はかつて港町として栄えていました。,這個城鎮過去曾作為港口城市而繁榮。
n2_0163,会議では活発な意見交換が行われました。,會議中進行了熱絡的意見交流。
n2_0164,この靴は少し窮屈です。,這雙鞋有點緊。
n2_0165,騒音について近所から苦情が来ました。,附近住戶針對噪音提出了抱怨。
n2_0166,多くの人が長引く不況に苦しんでいます。,許多人因長期景氣低迷而受苦。
n2_0167,彼は材料の産地にこだわっています。,他很講究材料的產地。
n2_0168,財布をなくすなんて、とんだ災難でした。,弄丟錢包真是一場災難。
n2_0169,彼女の表情から気持ちを察しました。,我從她的表情察覺了她的心情。
n2_0170,冷たい水が傷に染みました。,冷水滲到傷口，刺痛了起來。
n2_0171,参加者は午前九時に駅前へ集合してください。,參加者請上午九點在車站前集合。
n2_0172,明日は八時までに出勤します。,明天八點前上班。
n2_0173,彼女は奨学金を受けて大学に通っています。,她領獎學金上大學。
n2_0174,交差点で車と自転車が衝突しました。,汽車和腳踏車在十字路口相撞了。
n2_0175,彼は営業部に所属しています。,他隸屬於業務部。
n2_0176,心臓の検査を受けることになりました。,我決定接受心臟檢查。
n2_0177,試合中、審判の判断に観客が驚きました。,比賽中，觀眾對裁判的判斷感到驚訝。
n2_0178,一人暮らしを始めて、親のありがたさを実感しました。,開始一個人住之後，我深切感受到父母的可貴。
n2_0179,この会社には海外での販売実績があります。,這家公司有海外銷售實績。
n2_0180,新しい図書館は設備が充実しています。,新的圖書館設備很完善。
n2_0181,この問題の正解は一つだけではありません。,這題的正確答案不只一個。
n2_0182,歩いても駅までせいぜい十分です。,用走的到車站頂多十分鐘。
n2_0183,彼を説得するには、具体的な理由が必要です。,要說服他，需要具體理由。
n2_0184,冬に備えて食料を蓄えました。,為了準備過冬，我儲備了食物。
n2_0185,人生を旅に例える人は多いです。,很多人把人生比喻成旅程。
n2_0186,試しにこの方法でやってみましょう。,試著用這個方法做做看吧。
n2_0187,小さな石につまずいて転びそうになりました。,我被小石頭絆到，差點跌倒。
n2_0188,収入と支出がうまく釣り合っていません。,收入和支出沒有好好平衡。
n2_0189,健康のためには適度な運動が必要です。,為了健康，需要適度運動。
n2_0190,会議の準備が整いました。,會議準備已經就緒。
n2_0191,大きな決定には責任が伴います。,重大的決定伴隨著責任。
n2_0192,彼は問題の本質を正しく捉えています。,他正確掌握了問題的本質。
n2_0193,休みを取って体力を取り戻しました。,我請假休息後恢復了體力。
n2_0194,落ち込んでいる友達を慰めました。,我安慰了心情低落的朋友。
n2_0195,チケットを見せてから入場してください。,請出示票券後再入場。
n2_0196,彼女は妊娠してから体調に気をつけています。,她懷孕後很注意身體狀況。
n2_0197,家族の支えで困難を乗り越えました。,在家人的支持下克服了困難。
n2_0198,先生は落ち込んだ学生を励ましました。,老師鼓勵了沮喪的學生。
n2_0199,試合で実力を十分に発揮できました。,比賽中充分發揮了實力。
n2_0200,彼の発想はいつも新しくて面白いです。,他的構想總是新穎又有趣。
n2_0201,説明が長すぎるので、一部を省きました。,說明太長，所以我刪去了一部分。
n2_0202,裁判所は今日、判決を言い渡しました。,法院今天宣告了判決。
n2_0203,新しい広告への反応は予想以上によかったです。,大家對新廣告的反應比預期更好。
n2_0204,先生は学生の考えをうまく引き出しました。,老師很巧妙地引出了學生的想法。
n2_0205,二つの線の長さはほぼ等しいです。,兩條線的長度幾乎相等。
n2_0206,詳しい話は後にして、ひとまず休みましょう。,詳細的事之後再說，我們先休息吧。
n2_0207,大きな音が部屋中に響きました。,巨大的聲音響遍整個房間。
n2_0208,彼女にはリーダーにふさわしい責任感があります。,她有適合擔任領導者的責任感。
n2_0209,会社のお金を不正に使ってはいけません。,不能不當使用公司的錢。
n2_0210,台風で止まった電車は午後に復旧しました。,因颱風停駛的電車下午恢復運行了。
n2_0211,曲がり角で自転車とぶつかりそうになりました。,在轉角差點和腳踏車撞上。
n2_0212,ファイルをPDF形式に変換しました。,我把檔案轉換成 PDF 格式。
n2_0213,彼は長い歴史を誇る町に住んでいます。,他住在一座以悠久歷史自豪的城鎮。
n2_0214,駅まで友達を見送りました。,我送朋友到車站。
n2_0215,新聞の見出しだけで内容を判断しないでください。,請不要只看新聞標題就判斷內容。
n2_0216,失敗の原因を見直して、計画を立て直しました。,重新檢視失敗原因後，我們重訂了計畫。
n2_0217,彼の説明は前に言ったことと矛盾しています。,他的說明和之前說過的事互相矛盾。
n2_0218,車を運転するには免許が必要です。,開車需要駕照。
n2_0219,キャンプ場で火が静かに燃えています。,營地裡火正靜靜地燃燒。
n2_0220,この研究では新しい方法を用いました。,這項研究使用了新的方法。
n2_0221,この問題は思ったより厄介です。,這個問題比想像中棘手。
n2_0222,彼は私が相談できる唯一の友人です。,他是唯一能讓我商量事情的朋友。
n2_0223,チームは全国大会で優勝しました。,這支隊伍在全國大賽中獲得冠軍。
n2_0224,席をお年寄りに譲りました。,我把座位讓給老人。
n2_0225,運転中によそ見をすると危険です。,開車時分心看旁邊很危險。
n2_0226,疲れたので壁に寄りかかりました。,因為累了，我靠在牆上。
n2_0227,強風で看板が落下しました。,招牌因強風掉落。
n2_0228,怒っていても理性を失わないでください。,就算生氣，也請不要失去理性。
n2_0229,子どもの料金は大人の半額です。,兒童費用是成人的一半。
n2_0230,来週の連休に家族で旅行します。,下週連假要和家人去旅行。
n2_0231,会議の内容を録音しておきました。,我先把會議內容錄音下來。
n2_0232,学生証を見せると料金が割引されます。,出示學生證的話，費用會打折。
n2_0233,録音に雑音が入っていて聞き取りにくいです。,錄音裡有雜音，很難聽清楚。
n2_0234,受話器を取ると、知らない人の声がしました。,拿起聽筒後，傳來陌生人的聲音。
n2_0235,この電車は空港まで直通です。,這班電車直達機場。
n2_0236,山の中では通信が不安定になります。,在山裡通訊會變得不穩定。
n2_0237,机の上に小さな包みが置いてありました。,桌上放著一個小包裹。
n2_0238,家の前の電柱に新しい看板が付けられました。,家門前的電線桿裝上了新的看板。
n2_0239,地下では携帯電話の電波が入りにくいです。,在地下手機訊號不太容易收到。
n2_0240,商品の在庫について問い合わせをしました。,我查詢了商品庫存。
n2_0241,担当者には内線三二一番でつながります。,可以透過分機三二一聯絡負責人。
n2_0242,年賀状に近況を書いて送りました。,我在賀年卡上寫了近況後寄出。
n2_0243,電話をかけましたが、ずっと話し中でした。,我打了電話，但一直在通話中。
n2_0244,学校から行事のお知らせが届きました。,學校寄來了活動通知。
n2_0245,詳しくは下の表をご覧ください。,詳細內容請看下方表格。
n2_0246,会社は新しいスタッフを募集しています。,公司正在招募新員工。
n2_0247,駅の壁に映画のポスターが貼ってあります。,車站牆上貼著電影海報。
n2_0248,先生がグラフの見方を解説しました。,老師解說了圖表的看法。
n2_0249,店内での写真撮影は禁止されています。,店內禁止拍照。
n2_0250,卒業式で代表の学生がスピーチをしました。,畢業典禮上，學生代表致詞了。
n2_0251,外が騒々しくて、なかなか眠れません。,外面很吵，怎麼樣都睡不著。
n2_0252,新しい制度をめぐって論争が起きました。,圍繞新制度發生了爭論。
n2_0253,彼は泳ぎが得意で、毎週プールに通っています。,他很擅長游泳，每週都去游泳池。
n2_0254,兄は小学生のころから空手を習っています。,哥哥從國小時就開始學空手道。
n2_0255,監督は選手たちに細かく指示を出しました。,教練細心地給選手們指示。
n2_0256,彼の功績は今も高く評価されています。,他的功績至今仍受到高度評價。
n2_0257,冬休みに友達とスケートに行きました。,寒假時我和朋友去溜冰。
n2_0258,祖父はテレビで相撲を見るのが好きです。,祖父喜歡在電視上看相撲。
n2_0259,子どもが布団の中に潜って遊んでいます。,孩子鑽進棉被裡玩。
n2_0260,健康のために毎朝ランニングをしています。,為了健康，我每天早上慢跑。
n2_0261,ボールが線の外に出たのでアウトになりました。,球出了線外，所以出界了。
n2_0262,新人選手が一気にトップへ躍り出ました。,新人選手一口氣躍居第一。
n2_0263,試験は午前九時に開始されます。,考試上午九點開始。
n2_0264,オリンピックには多くの競技があります。,奧運有許多競技項目。
n2_0265,週末に友人と競馬を見に行きました。,週末我和朋友去看賽馬。
n2_0266,食事の最中に電話が鳴りました。,正在吃飯時電話響了。
n2_0267,自分の弱点を知ることは大切です。,了解自己的弱點很重要。
n2_0268,イベントは予定どおり終了しました。,活動按照預定結束了。
n2_0269,勝敗にこだわりすぎず、試合を楽しみましょう。,不要太拘泥輸贏，好好享受比賽吧。
n2_0270,観客はスタンドから選手に声援を送りました。,觀眾從看台向選手加油。
n2_0271,彼は最後まで全力で走りました。,他全力跑到最後。
n2_0272,来月、全国大会が開かれます。,下個月會舉辦全國大會。
n2_0273,今が新しいことを始めるチャンスです。,現在是開始新事物的好機會。
n2_0274,開演の三十分前から入場できます。,開演前三十分鐘可以入場。
n2_0275,入場券をなくすと会場に入れません。,弄丟入場券就不能進會場。
n2_0276,彼は次の試合で優勝を狙っています。,他在下一場比賽中以冠軍為目標。
n2_0277,試合は二対二の引き分けに終わりました。,比賽以二比二平手結束。
n2_0278,大会は午後五時に閉会しました。,大會下午五點閉幕。
n2_0279,新しいメンバーがチームに加わりました。,新成員加入了團隊。
n2_0280,ライブの後、駅前で解散しました。,演唱會後，大家在車站前解散。
n2_0281,放課後、学生たちはグラウンドで練習しています。,放學後，學生們在操場練習。
n2_0282,選手は最後までゴールを目指して走りました。,選手朝著終點跑到最後。
n2_0283,子どもが床でボールを転がしています。,孩子在地板上滾球。
n2_0284,書類にサインしてから提出してください。,請在文件上簽名後再提交。
n2_0285,犯人は警察から逃げ切ることができませんでした。,犯人沒能從警方手中逃脫。
n2_0286,初めて能の舞台を見に行きました。,我第一次去看能樂舞台。
n2_0287,彼は来年のマラソンに出場する予定です。,他預計參加明年的馬拉松。
n2_0288,夏休みに家族で海水浴に行きました。,暑假時全家去海水浴了。
n2_0289,週末は美術館で絵を鑑賞しました。,週末我在美術館欣賞了畫作。
n2_0290,友達と山でキャンプをしました。,我和朋友在山上露營。
n2_0291,仕事だけでなく、娯楽の時間も必要です。,不只工作，也需要娛樂時間。
n2_0292,安全のため、登山の前に天気を確認しました。,為了安全，登山前確認了天氣。
n2_0293,彼は新しい仕事に挑戦する冒険を選びました。,他選擇冒險挑戰新的工作。
n2_0294,旅行で京都の寺を巡りました。,旅行時巡遊了京都的寺院。
n2_0295,市は高齢者向けのレクリエーションを企画しています。,市政府正在規劃面向高齡者的康樂活動。
n2_0296,週末はレジャーを楽しむ人で海辺が混みます。,週末海邊會因享受休閒活動的人而擁擠。
n2_0297,占い師に将来を占ってもらいました。,我請占卜師幫我占卜未來。
n2_0298,じゃんけんで掃除当番を決めました。,我們用猜拳決定打掃值日生。
n2_0299,祖父は毎晩、友人と将棋を指します。,祖父每天晚上和朋友下將棋。
n2_0300,彼は子どもたちの前で手品を見せました。,他在孩子們面前表演魔術。
n2_0301,子どものころ、この童話を何度も読みました。,小時候我讀過這篇童話很多次。
n2_0302,子どもたちはなぞなぞを出し合って遊んでいます。,孩子們互相出謎語玩。
n2_0303,彼女はノートに海の景色を描きました。,她在筆記本上畫了海邊景色。
n2_0304,絵の具を混ぜて新しい色を作りました。,我混合顏料做出新的顏色。
n2_0305,この美術館には有名な絵画が展示されています。,這座美術館展示著知名畫作。
n2_0306,玉ねぎを細かく刻んでスープに入れました。,我把洋蔥切碎後放進湯裡。
n2_0307,彼女は日本の伝統芸能に興味があります。,她對日本傳統表演藝術有興趣。
n2_0308,公園で木や花を写生しました。,我在公園寫生樹木和花。
n2_0309,小学生のころ、毎週習字を習っていました。,國小時我每週都學習字。
n2_0310,祖母は書道が上手で、年賀状も筆で書きます。,祖母很擅長書法，賀年卡也用毛筆寫。
n2_0311,彼は仕事の後で小説を創作しています。,他下班後創作小說。
n2_0312,彼女には音楽家としての素質があります。,她有成為音樂家的天分。
n2_0313,危ないので、線路に近寄らないでください。,很危險，請不要靠近鐵軌。
n2_0314,彼は木を彫刻して動物を作りました。,他雕刻木頭做成動物。
n2_0315,春をテーマに俳句を一句作りました。,我以春天為主題寫了一首俳句。
n2_0316,この雑誌は文芸作品を多く紹介しています。,這本雜誌介紹許多文藝作品。
n2_0317,週末にオーケストラの演奏を聴きに行きます。,週末要去聽管弦樂團演奏。
n2_0318,教会の中に古いオルガンがあります。,教堂裡有一台古老的管風琴。
n2_0319,卒業式で学生たちが校歌を合唱しました。,畢業典禮上，學生們合唱了校歌。
n2_0320,彼女は大学のコーラスに参加しています。,她參加了大學合唱團。
n2_0321,授業で日本文学の古典を読みました。,課堂上讀了日本文學古典作品。
n2_0322,彼女はピアノのコンクールで入賞しました。,她在鋼琴比賽中得獎了。
n2_0323,彼は映画の音楽を作曲しました。,他為電影配樂作曲。
n2_0324,祭りで大きな太鼓の音が響いていました。,祭典上響著大鼓的聲音。
n2_0325,この曲はテンポが速くて踊りやすいです。,這首曲子節奏很快，很適合跳舞。
n2_0326,母は子どもに童謡を歌って聞かせました。,媽媽唱童謠給孩子聽。
n2_0327,鐘の響きが山の方まで届きました。,鐘聲的迴響傳到了山那邊。
n2_0328,この地域には古くから伝わる民謡があります。,這個地區有自古流傳下來的民謠。
n2_0329,一定のリズムで歩くと疲れにくいです。,以固定節奏走路比較不容易累。
n2_0330,映画を見る前にあらすじを読みました。,看電影前我讀了劇情概要。
n2_0331,司会者のあいさつで式が開会しました。,典禮在主持人的問候後開幕。
n2_0332,開演前から客席はほぼ満員でした。,開演前觀眾席幾乎已經坐滿。
n2_0333,本番の前に何度も稽古をしました。,正式演出前排練了很多次。
n2_0334,この劇は実際の事件をもとにしています。,這齣劇是以真實事件為基礎。
n2_0335,この映画は彼の最高の傑作だと言われています。,這部電影被認為是他最棒的傑作。
n2_0336,彼女は新しいドラマで主役を演じます。,她會在新連續劇中飾演主角。
n2_0337,歌手がステージに上がると、観客が拍手しました。,歌手一上舞台，觀眾就鼓掌。
n2_0338,受付で今日のプログラムを受け取りました。,我在櫃台拿到了今天的節目表。
n2_0339,この小説は時代を超えて読まれる名作です。,這本小說是跨越時代仍被閱讀的名作。
n2_0340,祖母は寝る前に昔の物語を聞かせてくれました。,祖母睡前講以前的故事給我聽。
n2_0341,二で割り切れる数を偶数と言います。,能被二整除的數稱為偶數。
n2_0342,彼は料理の技術を極めようと努力しています。,他為了鑽研料理技術而努力。
n2_0343,少子化の影響で学校の数が減っています。,受到少子化影響，學校數量正在減少。
n2_0344,参加者の大半は学生でした。,參加者大半是學生。
n2_0345,気温は午後に三十五度に達しました。,氣溫下午達到了三十五度。
n2_0346,英語では単数と複数を区別します。,英文會區分單數和複數。
n2_0347,会議の半ばで休憩を取りました。,會議進行到一半時休息了。
n2_0348,会場には何百人もの人が集まりました。,會場聚集了好幾百人。
n2_0349,彼は研究一筋に生きてきました。,他一直一心投入研究而生活。
n2_0350,資料にはひと通り目を通しました。,我大致看過一遍資料了。
n2_0351,複数の案を比べてから決めましょう。,比較多個方案後再決定吧。
n2_0352,印刷する前に必要な枚数を確認してください。,列印前請確認需要的張數。
n2_0353,この地域で雪が降るのはまれです。,這個地區下雪很罕見。
n2_0354,プールの長さは二十五メーターです。,游泳池長二十五公尺。
n2_0355,完成まで一週間を目安にしてください。,請以一週完成作為大致基準。
n2_0356,予備の電池をかばんに入れておきました。,我把備用電池先放進包包裡。
n2_0357,味を見ながら塩の量を加減してください。,請一邊試味道一邊調整鹽量。
n2_0358,観光客の数がこの十年で激増しました。,觀光客數量在這十年間暴增。
n2_0359,参加人数の増減を毎日確認しています。,每天都在確認參加人數的增減變化。
n2_0360,アンケート結果を統計にまとめました。,我把問卷結果整理成統計。
n2_0361,この方程式を解くには少し時間がかかります。,解這個方程式需要一點時間。
n2_0362,この地域の失業率は去年より下がりました。,這個地區的失業率比去年下降了。
n2_0363,この機械は一定の温度を保ちます。,這台機器會維持固定溫度。
n2_0364,大規模な工事が駅前で始まりました。,車站前開始了大規模工程。
n2_0365,皆さんの協力に大いに感謝しています。,非常感謝大家的協助。
n2_0366,この店では主に地元の野菜を使っています。,這家店主要使用本地蔬菜。
