level,reading,writing,page,column,entry_no,needs_review
N1,こなごな,粉々,538,right,,1
N1,すいせん,水洗,538,right,,1
N1,すえつける,据え付ける,538,right,,1
N1,すえる,据える,539,left,04,
N1,ちゃのま,茶の間,539,left,05,
N1,ながし,流し,539,left,06,
N1,にゅうよく,入浴,539,left,07,
N1,はいすい,排水,539,left,08,
N1,はいち,配置,539,left,09,
N1,バス,bath,539,right,10,
N1,ユニットバス,(和) unit 十 : bath,539,right,12,
N1,ようしき,洋式,539,right,13,
N1,わしき,和式,539,right,15,
N1,アットホーム,athome,540,left,,1
N1,きょじゅう,居住,540,left,03,
N1,じゅう,住,540,right,,1
N1,てんきょ,転居,540,right,,1
N1,ふざい,不在,540,right,,1
N1,あじわい,味わい,541,left,01,
N1,あっさり,あっさり,541,left,02,
N1,あまくち,甘口,541,left,03,
N1,あわせ,合わせ,541,left,04,
N1,えんぶん,塩分,541,left,05,
N1,かけ,掛け,541,right,oe,
N1,かみきる,噛み切る,541,right,97,
N1,きょう,供,541,right,09,
N1,しゅしょく,主食,542,left,01,
N1,ていしょく,定食,542,left,02,
N1,なまぐさい,生臭い,542,left,03,
N1,なめる,舐める,542,left,14,
N1,ひるめし,昼飯,542,left,,1
N1,ふくれる,膨れる・用れる,542,right,,1
N1,まずい,不味い,542,right,,1
N1,まちまち,区々,542,right,,1
N1,みかく,味覚,542,right,,1
N1,みずみずしい,瑞瑞しい,542,right,01,
N1,めす,召す,543,left,23,
N1,うめぼし,梅干し,543,left,01,
N1,おせちりょうり,お節料理,543,left,02,
N1,かいとう,解凍,543,left,03,
N1,カクテル,cocktail,543,left,04,
N1,かしら,頭,543,left,05,
N1,ゼリー,jelly,543,right,07,
N1,ぜん,騰,543,right,oe,
N1,ぞうに,雑煮,543,right,09,
N1,そえる,添える,543,right,,
N1,ねつりょう,熱量,544,left,02,
N1,はいきゅう,配給,544,left,03,
N1,はごたえ,歯応え,544,left,44,
N1,はちみつ,蜂密,544,left,05,
N1,ふんまつ,粉末,544,left,07,
N1,ほし,干し,544,left,08,
N1,ライス,rice,544,right,,1
N1,れいぞう,冷蔵,544,right,,1
N1,いためる,炒める,545,left,o,
N1,うでまえ,腕前,545,left,02,
N1,かきまわす,播き回す,545,left,03,
N1,きれめ,切れ目,545,left,04,
N1,けむる,煙る,545,left,05,
N1,こす,漉す,545,left,oe,
N1,しあげ,仕上げ,545,right,07,
N1,したあじ,下味,545,right,oe,
N1,しみる,洪みる,545,right,oy,
N1,すくう,拘う,545,right,10,
N1,せいほう,製法,545,right,01,
N1,だいよう,代用,545,right,12,
N1,ちょうり,調理,546,left,03,
N1,ちょうわ,調和,546,left,04,
N1,デコレーション,decoration,546,left,04,
N1,ねっとう,熱湯,546,left,07,
N1,ほおん,保温,546,right,,1
N1,みずけ,水気,546,right,,1
N1,いしょう,衣装,547,left,01,
N1,いりょう,衣料,547,left,02,
N1,いるい,衣類,547,left,03,
N1,おりもの,織物,547,left,04,
N1,サイズ,size,547,left,05,
N1,さける,裂ける,547,right,oe,
N1,しける,湿気る,547,right,07,
N1,ジャンパー,jumper,547,right,09,
N1,スラックス,slacks,547,right,10,
N1,そろい,揃い,547,right,01,
N1,たけ,丈,548,left,12,
N1,だぶだぶ,だぶだぶ,548,left,13,
N1,たるみ,たるみ,548,left,14,
N1,ハイネック,high-necked,548,left,15,
N1,ひっかける,引 っ掛ける,548,right,,1
N1,ほしもの,干し物,548,right,,1
N1,ユニフォーム,uniform,548,right,,1
N1,りゅうこう,流行,548,right,,1
N1,レース,lace,548,right,,1
N1,きかざる,着飾る,549,left,o,
N1,キャップ,cap,549,left,02,
N1,くびかざり,首飾り,549,left,03,
N1,ジーパン,(和)jeans+pant 之略,549,left,04,
N1,せいそう,盛装,549,left,05,
N1,ねじれる,ねじれる,549,left,96,
N1,はえる,映える,549,right,07,
N1,はげる,剥げる,549,right,om,
N1,ブーツ,boots,549,right,09,
N1,ぶかぶか,ぶかぶか,549,right,10,
N1,ほどける,解ける,549,right,11,
N1,ゆるめる,緩める,549,right,12,
N1,あおむけ,仰向け,550,left,00,
N1,うるおう,潤う,550,left,,1
N1,おがと,,550,left,05,1
N1,おおがら,大柄,550,left,,1
N1,からだつき,体付き,550,right,,1
N1,きたえる,鍛える,550,right,,1
N1,きゃしゃ,華著,550,right,,1
N1,くぐる,潜る,551,left,11,
N1,けっかん,血管,551,left,12,
N1,こがら,小柄,551,left,13,
N1,じんたい,人体,551,left,14,
N1,スリーサイズ,(和)three - size,551,left,15,
N1,たいかく,体格,551,left,16,
N1,だっしゅつ,脱出,551,right,07,
N1,つかる,浸かる,551,right,09,
N1,つやつや,つやつや,551,right,19,
N1,なまみ,生身,551,right,23,
N1,にくたい,肉体,552,left,04,
N1,ひやけ,日焼け,552,left,02,
N1,ふるわす,居わす,552,left,02,
N1,ふれあう,触れ合う,552,left,03,
N1,また,股,552,left,09,
N1,まるまる,丸々,552,right,,1
N1,みがる,身軽,552,right,,1
N1,みぶり,身振り,552,right,,1
N1,よりかかる,寄り掛かる,552,right,,1
N1,あおぐ,仰ぐ,553,left,01,
N1,いちもく,一目,553,left,03,
N1,いっけん,一見,553,left,04,
N1,うつむく,佑く,553,left,05,
N1,かおつき,顔付き,553,left,06,
N1,かたむける,傾ける,553,right,07,
N1,がんきゅう,眼球,553,right,08,
N1,くっきり,くっきり,553,right,00,
N1,コンタクト,contact lens之略,553,right,11,
N1,すます,澄ます・清ます,554,left,04,
N1,そらす,反らす,554,left,04,
N1,だんりょく,弾力,554,left,07,
N1,ちょうかく,聴覚,554,left,09,
N1,つば,唾,554,right,00,
N1,つぶやき,咳き,554,right,01,
N1,つぶやく,咳く,554,right,22,
N1,つぶら,つぶら,554,right,23,
N1,つぶる,瞑る,554,right,24,
N1,できもの,でき物,555,left,25,
N1,なめらか,滑らか,555,left,26,
N1,にきび,にきび,555,left,27,
N1,はつみみ,初耳,555,left,28,
N1,はり,張り,555,left,29,
N1,ひといき,一息,555,left,30,
N1,ほっぺた,類っぺた,555,right,31,
N1,まばたき・またたき,瞬き,555,right,34,
N1,まゆ,眉,555,right,35,
N1,みとどける,見届ける,555,right,36,
N1,みのがす,見逃す,555,right,07,
N1,みはらし,見晴らし,556,left,38,
N1,みわたす,見渡す,556,left,03,
N1,めつき,目付き,556,left,40,
N1,よそみ,余所見,556,left,42,
N1,あゆみ,歩み,556,right,01,
N1,あゆむ,歩む,556,right,02,
N1,おしこむ,押し込む,556,right,03,
N1,おてあげ,お手上げ,556,right,04,
N1,かけあし,駆け足,556,right,05,
N1,さす,指す,557,left,06,
N1,しのびよる,忍び寄る,557,left,07,
N1,しもん,指紋,557,left,08,
N1,ジャンプ,jump,557,left,09,
N1,しょじ,所持,557,left,10,
N1,たちさる,立ち去る,557,left,11,
N1,たばねる,束ねる,557,left,12,
N1,てすう,手数,557,right,16,
N1,てはず,手筐,557,right,07,
N1,とほ,徒歩,557,right,01,
N1,とりもどす,取り戻す,558,left,09,
N1,はたく,はたく,558,left,20,
N1,はだし,裸足,558,left,21,
N1,ひっかく,引っ播く,558,left,22,
N1,ほうりこむ,放り込む,558,left,24,
N1,むしる,稚る,558,right,05,
N1,ゆびさす,指差す,558,right,06,
N1,かんじん,肝心・肝腎,558,right,01,
N1,きかん,器官,558,right,02,
N1,こつ,骨,558,right,03,
N1,じんぞう,腎臓,559,left,04,
N1,ちょう,腸,559,left,05,
N1,ないぞう,内臓,559,left,06,
N1,のう,脳,559,right,07,
N1,はれつ,破裂,559,right,09,
N1,いかす,生かす,560,left,00,
N1,うまれつき,生まれつき,560,left,,1
N1,うんめい,運命,560,left,04,
N1,おないどし,同い年,560,right,06,
N1,しゅくめい,宿命,560,right,07,
N1,しゆつしょう・しゅっせい,出生,560,right,09,
N1,しんぴ,神秘,560,right,,1
N1,セックス,sex,561,left,01,
N1,ちちぢまる,縮まる,561,left,12,
N1,にんしん,妊娠,561,left,03,
N1,はんしょく,繁殖,561,left,14,
N1,あんぴ,安知,561,left,01,
N1,いしきふめい,意識不明,561,left,02,
N1,おいる,老いる,561,right,03,
N1,おとろえる,衰える,561,right,04,
N1,かいご,介護,561,right,08,
N1,くちる,朽ちる,561,right,oe,
N1,けんぜん,健全,561,right,07,
N1,しょうがい,生涯,562,left,,1
N1,せいし,生死,562,left,,1
N1,たえる,絶える,562,left,13,
N1,とだえる,途絶える,562,left,04,
N1,としごろ,年頃,562,right,05,
N1,はてる,果てる,562,right,06,
N1,ぼける,惚ける,562,right,07,
N1,きがい,危害,562,right,01,
N1,ししゅんき,思春期,563,left,02,
N1,すこやか,健やか,563,left,03,
N1,せいいく,生育・成育,563,left,04,
N1,せいしゅん,青春,563,left,05,
N1,せいじゅく,成熟,563,left,06,
N1,せいり,生理,563,left,07,
N1,たくましい,昨しい,563,right,09,
N1,たっしゃ,達者,563,right,40,
N1,たもつ,保つ,563,right,01,
N1,ちち,乳,563,right,12,
N1,ねぐるしい,寝苦しい,563,right,13,
N1,ほきゅう,補給,564,left,44,
N1,みだれ,乱れ,564,left,15,
N1,うたたね,うたた寝,564,left,01,
N1,かぶれる,かぶれる,564,left,02,
N1,かろう,過労,564,left,03,
N1,くうふく,空腹,564,right,04,
N1,ぐったり,ぐったり,564,right,05,
N1,こうしょきょうふしょう,高 [恐怖症,564,right,06,
N1,ぜんかい,全快,564,right,07,
N1,ぞうしん,増進,564,right,08,
N1,だるい,だるい,564,right,09,
N1,ちくせき,蓄積,565,left,10,
N1,ちっそく,窒息,565,left,11,
N1,デリケート,delicate,565,left,12,
N1,ひとねむり,一眠り,565,left,13,
N1,ひろう,疲労,565,left,14,
N1,ひんじゃく,貧弱,565,left,15,
N1,ふしん,不振,565,left,16,
N1,ふちょう,不調,565,right,17,
N1,べんぴ,便秘,565,right,,
N1,まんせい,慢性,565,right,20,
N1,おかむか,,565,right,21,1
N1,むせる,むせる,566,left,02,
N1,やすめる,休める,566,left,02,
N1,がんがん,がんがん,566,left,02,
N1,さする,擦る,566,left,03,
N1,すれる,擦れる,566,right,05,
N1,だぼく,打撲,566,right,06,
N1,つねる,つねる,566,right,07,
N1,とりのぞく,取り除く,566,right,08,
N1,やわらげる,和らげる,566,right,00,
N1,あっか,悪化,567,left,01,
N1,あっぱく,圧迫,567,left,02,
N1,アトピーせいひふえん,atop 性皮膚炎,567,left,03,
N1,アフターケア,aftercare,567,left,04,
N1,アルツハイマーびょう,アルツハイマー病,567,left,05,
N1,あんせい,安静,567,left,06,
N1,がいする,害する,567,right,om,
N1,かいほう,介抱,567,right,09,
N1,きかんしえん,気管支炎,567,right,12,
N1,きんがん,近眼,568,left,04,
N1,きんし,近視,568,left,06,
N1,きん,菌,568,left,07,
N1,けっかく,結核,568,left,,
N1,げっそり,げっそり,568,left,09,
N1,けつぼう,欠乏,568,right,00,
N1,げんかく,幻覚,568,right,02,
N1,こうせいぶっしつ,抗生物質,568,right,03,
N1,こじらせる,らせる,568,right,04,
N1,さいきん,細菌,568,right,05,
N1,さいはつ,再発,569,left,26,
N1,さいぼう,細胞,569,left,27,
N1,さむけ,寒気,569,left,28,
N1,じかく,自覚,569,left,29,
N1,しっしん,湿疹,569,left,30,
N1,しっちょう,失調,569,left,31,
N1,しゃぜつ,謝絶,569,right,32,
N1,しょう,症,569,right,,
N1,しょち,処置,569,right,34,
N1,しんこう,進行,569,right,35,
N1,じんましん,蕁麻疹,569,right,37,
N1,せんてんてき,先天的,570,left,40,
N1,だっすい,脱水,570,left,41,
N1,ちゅうどく,中毒,570,left,42,
N1,つきそう,付き添う,570,left,43,
N1,つきる,尽きる,570,left,44,
N1,つぐ,接ぐ,570,right,05,
N1,ておくれ,手遅れ,570,right,06,
N1,どわすれ,度忘れ,570,right,07,
N1,ねっちゅうしょう,熱中症,570,right,49,
N1,ねんざ,挫挫,570,right,50,
N1,ノイローゼト,(徳) Neurose,571,left,51,
N1,はいえん,肺炎,571,left,52,
N1,ばてる,ばてる,571,left,54,
N1,はれる,腫れる,571,left,55,
N1,ひふえん,皮膚炎,571,left,56,
N1,ほよう,保養,571,right,09,
N1,めんえき,免疫,571,right,62,
N1,やまい,病,571,right,63,
N1,よわる,明る,572,left,04,
N1,りょうこう,良好,572,left,66,
N1,レントゲン,roentgen,572,left,67,
N1,いきぐるしい,息苦しい,572,left,,1
N1,いびき,いびき,572,left,02,
N1,かんしょく,感触,572,right,,1
N1,けむたい,煙たい,572,right,,1
N1,しにょう,屎尿,572,right,,
N1,しゅっけつ,出血,572,right,,1
N1,だいべん,大便,572,right,,1
N1,にょう,尿,572,right,,1
N1,ひだりきき,左利き,573,left,09,
N1,ひんけつ,貧血,573,left,10,
N1,みゃく,脈,573,right,11,
N1,あかのたにん,赤の他人,574,left,01,
N1,あがり,上がり,574,left,02,
N1,うごき,動き,574,left,03,
N1,かんろく,員録,574,left,05,
N1,けいれき,経歴,574,right,,1
N1,こんけつ,混血,574,right,,1
N1,しょうたい,正体,574,right,,1
N1,たしゃ,他者,574,right,,1
N1,ただのひと,ただの人,574,right,,1
N1,てきせい,適性,575,left,11,
N1,てんさい,天才,575,left,12,
N1,ひとかげ,人影,575,left,13,
N1,ひとけ,人気,575,left,14,
N1,まるめる,丸める,575,left,15,
N1,みじゅく,未熟,575,left,16,
N1,みのうえ,身の上,575,right,07,
N1,みもと,身元,575,right,18,
N1,おのう,無能,575,right,19,
N1,わるもの,悪者,575,right,21,
N1,いせい,異性,575,right,01,
N1,しんし,紳士,576,left,02,
N1,せいねん,成年,576,left,04,
N1,ミセス,Mrs.,576,left,05,
N1,ヤング,young,576,left,06,
N1,いちいん,一員,576,right,01,
N1,いみん,移民,576,right,02,
N1,エリート,(法) elite,576,right,03,
N1,がくし,学士,576,right,01,
N1,かん,官,576,right,,1
N1,きぞく,貴族,576,right,,1
N1,ぎょうしゃ,業者,577,left,07,
N1,くろうと,玄人,577,left,08,
N1,ゲスト,guest,577,left,09,
N1,こじん,故人,577,left,10,
N1,さむらい,侍,577,left,11,
N1,サンタクロース,Santa Claus,577,left,12,
N1,じつぎょうか,実業家,577,left,13,
N1,じぬし,地主,577,right,14,
N1,しゅ,主,577,right,17,
N1,しょくいん,職員,578,left,,1
N1,じょし,女史,578,left,02,
N1,しんいり,新入り,578,left,02,
N1,しんじゃ,信者,578,left,25,
N1,セレプ,celeb,578,right,,1
N1,たいか,大家,578,right,,1
N1,タイピスト,typist,579,left,32,
N1,たんしん,単身,579,left,33,
N1,ちょめい,著名,579,left,34,
N1,どうし,同志,579,left,35,
N1,とうにん,当人,579,left,36,
N1,どくしゃ,読者,579,left,37,
N1,とのさま,殿様,579,left,38,
N1,ドライバー,driver,579,right,39,
N1,なこうど,仲人,579,right,40,
N1,ぬし,主,579,right,41,
N1,ばんにん,万人,579,right,01,
N1,ファン,fan,579,right,44,
N1,ペーパードライバー,(和)paper+driver,580,left,,
N1,へいし,兵士,580,left,47,
N1,ぼくし,牧師,580,left,48,
N1,ほりよ,捕虜,580,left,49,
N1,マニア,mania,580,left,50,
N1,やつ,奴,580,right,,1
N1,よそのひと,よその人,580,right,,1
N1,りょよきゃく・りょかく,旅客,580,right,,1
N1,いちどう,一同,580,right,,1
N1,かんしゅう,観衆,580,right,,1
N1,ぐんしゅう,和群集,580,right,,1
N1,ぐんしゅう,和群衆,581,left,04,
N1,ぐん,群,581,left,05,
N1,げきだん,劇団,581,left,oe,
N1,けっせい,結成,581,left,07,
N1,げんじゅうみん,原住民,581,left,08,
N1,しゅう,衆,581,left,09,
N1,しょくん,諸君,581,left,10,
N1,しょみん,庶民,581,right,11,
N1,じん,陣,581,right,03,
N1,たいしゅう,大衆,581,right,14,
N1,たい,隊,581,right,15,
N1,どうし,同士,581,right,,
N1,ペア,pair,582,left,17,
N1,ぼうりょくだん,暴力団,582,left,,
N1,みんぞく,民俗,582,left,09,
N1,れんちゅう,連中,582,left,21,
N1,エレガント,elegant,582,right,,1
N1,かび,華美,582,right,,1
N1,きひん,気品,582,right,,1
N1,こうしょう,高尚,582,right,,1
N1,しこう,志向,582,right,,1
N1,シック,(法) chic,583,left,07,
N1,チェンジ,change,583,left,08,
N1,ひらたい,平たい,583,left,09,
N1,ふくめん,覆面,583,left,10,
N1,ぶさいく,不細工,583,left,11,
N1,ポーズ,pose,583,left,12,
N1,みすぼらしい,みすぼらしい,583,right,13,
N1,ゆうび,優美,583,right,16,
N1,あいそう・あいそ,愛想,583,right,01,
N1,あからむ,赤らも,584,left,02,
N1,あからめる,赤らめる,584,left,03,
N1,あっとう,圧倒,584,left,05,
N1,あらっぽい,荒っぽい,584,left,00,
N1,いいかげん,いい加減,584,left,00,
N1,いき,粋,584,right,98,
N1,いさぎよい,潔い,584,right,99,
N1,いっそ,いっそ,584,right,00,
N1,いっぺん,一変,584,right,01,
N1,いやらしい,嫌らしい,584,right,02,
N1,いんき,陰気,585,left,13,
N1,インテリ,(俄)intelligentsiya之略,585,left,14,
N1,おおまか,大まか,585,left,15,
N1,おおらか,大らか,585,left,16,
N1,おくびょう,騰病,585,left,,1
N1,おごそか,厳か,585,left,18,
N1,おせっかい,おせっかい,585,right,19,
N1,おつかい,お使い,585,right,21,
N1,かって,勝手,586,left,55,
N1,かっぱつ,活発,586,left,,1
N1,がんこ,頑固,586,left,,1
N1,かんにさわる,六に障る,586,left,28,
N1,かんよう,寛容,586,left,02,
N1,きがきく,気が利く,586,left,,1
N1,きさく,気さく,586,left,,1
N1,きざ,気障,586,right,02,
N1,きしつ,気質,586,right,03,
N1,きだて,気立て,586,right,04,
N1,きちょうめん,几帳面,586,right,,
N1,きなが,気長,586,right,,1
N1,きふう,気風,587,left,37,
N1,きまぐれ,気紛れ,587,left,38,
N1,きまじめ,生真面目,587,left,39,
N1,きょう,強,587,left,40,
N1,きょよう,許容,587,left,41,
N1,きんべん,勤勉,587,left,42,
N1,くっせつ,屈折,587,right,43,
N1,けいそつ,軽率,587,right,45,
N1,けんめい,臣明,587,right,46,
N1,こうい,行為,587,right,47,
N1,こつこつ,こつこつ,588,left,50,
N1,ざつ,雑,588,left,52,
N1,ざんこく,残酷,588,left,53,
N1,しとやか,しとやか,588,right,06,
N1,しぶとい,しぶとい,588,right,07,
N1,じゃく,弱,588,right,08,
N1,しゃこう,社交,588,right,,1
N1,じょうねつ,情熱,588,right,00,
N1,じんかく,人格,588,right,01,
N1,すねる,提ねる,589,left,02,
N1,せいじゅん,清純,589,left,64,
N1,そっけない,素っ気ない,589,left,67,
N1,だいたん,大胆,589,right,69,
N1,だらだら,だらだら,589,right,70,
N1,たんき,短気,589,right,71,
N1,ちかよりがたい,近寄りがたい,589,right,72,
N1,ちっぽけ,ちっぽけ,589,right,73,
N1,チャーミング,charming,590,left,04,
N1,つつしむ,慎む・謗む,590,left,05,
N1,つよい,強い,590,left,07,
N1,でかい,でかい,590,left,78,
N1,どうどう,堂々,590,left,29,
N1,どきょう,度胸,590,right,,1
N1,ドライ,dry,590,right,,1
N1,なごむ,和む,590,right,,1
N1,なまぬるい,生ぬるい,590,right,03,
N1,なれなれしい,馴れ馴れしい,590,right,04,
N1,ネガティブ・ネガ,negative,590,right,05,
N1,はいりょ,配慮,591,left,86,
N1,びしょう,微笑,591,left,87,
N1,ひとがら,人柄,591,left,88,
N1,ファザコント,(和) father + complex 之略,591,left,89,
N1,ぶれい,無礼,591,left,90,
N1,ほうりだす,放り出す,591,left,01,
N1,ほしゅ,保守,591,right,02,
N1,まけずぎらい,負けず嫌い,591,right,04,
N1,マザコン,(和)mother+ : Complex 之略,591,right,95,
N1,みえっぱり,見栄っ張り,591,right,96,
N1,みならう,見習う,592,left,,1
N1,むくち,無口,592,left,09,
N1,むじゃき,無邪気,592,left,00,
N1,おちゃくちゃ,無茶苦茶,592,left,01,
N1,むちゃ,無茶,592,left,02,
N1,めいろう,明朗,592,left,03,
N1,もはん,模範,592,right,04,
N1,よくぼう,欲望,592,right,05,
N1,らっかん,楽観,592,right,05,
N1,れいこく,冷酷,592,right,07,
N1,れいたん,冷淡,592,right,05,
N1,ろこつ,串骨,592,right,,1
N1,ワンパターン,(和) one 十 pattern,593,left,10,
N1,あいだがら,間柄,593,left,01,
N1,あらかじめ,予め,593,left,02,
N1,みどり,緑,593,left,03,
N1,おとも,お供,593,left,04,
N1,かたとき,片時,593,left,05,
N1,かわるがわる,代わる代わる,593,right,oe,
N1,かんしょう,和干渉,593,right,07,
N1,がっちり,がっちり,593,right,08,
N1,きゅうち,旧知,593,right,10,
N1,きゅうゆう,旧友,593,right,11,
N1,きょうちょう,協調,594,left,02,
N1,つながり,繋がり,594,left,04,
N1,コネ,connection 之略,594,left,15,
N1,さいかい,再会,594,left,,1
N1,したしまれる,親しまれる,594,left,07,
N1,したしむ,親 しむ,594,right,03,
N1,しょたいめん,初対面,594,right,,1
N1,すくい,救い,594,right,,1
N1,すれちがい,擦れ違い,594,right,01,
N1,たいとう,対等,594,right,02,
N1,たいめん,対面,594,right,03,
N1,たすけ,助け,595,left,24,
N1,ちゅうしょう,中傷,595,left,25,
N1,どうちょう,同調,595,left,27,
N1,とも,供,595,left,28,
N1,にあい,似合い,595,left,29,
N1,はしわたし,橋渡し,595,right,30,
N1,ひきたてる,引き立てる,595,right,31,
N1,ペアルック,(和) pair + look,595,right,33,
N1,ほうかい,月壊,595,right,34,
N1,まじえる,交える,595,right,35,
N1,みっせつ,密接,596,left,37,
N1,むすびつき,結び付き,596,left,39,
N1,むすびつける,結び付ける,596,left,40,
N1,めんかい,面会,596,left,41,
N1,もてなす,持て成す,596,right,02,
N1,ゆうずう,融通,596,right,03,
N1,ライバル,rival,596,right,04,
N1,おみや,お宮,596,right,01,
N1,かいじゅう,怪獣,596,right,02,
N1,ささげる,捧げる,597,left,04,
N1,じごく,地獄,597,left,05,
N1,しゅう,宗,597,left,06,
N1,しんせい,神聖,597,left,07,
N1,しんでん,神典,597,left,08,
N1,すうはい,崇拝,597,right,00,
N1,せいしょ,聖書,597,right,40,
N1,せんきょう,宣教,597,right,11,
N1,ぜん,祥,597,right,12,
N1,てんごく,天国,598,left,06,
N1,でんせつ,伝説,598,left,07,
N1,とりい,鳥居,598,left,04,
N1,ばける,化ける,598,left,09,
N1,ぶっだん,仏壇,598,left,,1
N1,ゆうれい,幽霊,598,right,,
N1,きょうぐう,境過,599,left,01,
N1,ぎり,義理,599,left,02,
N1,せたい,世帯,599,left,03,
N1,ふよう,扶養,599,left,04,
N1,みうち,身内,599,left,05,
N1,かたな,刀,599,right,05,
N1,やしなう,養う,599,right,07,
N1,ゆらぐ,揺らく,599,right,oe,
N1,よりそう,寄り添う,599,right,09,
N1,なれそめ,馴れ初め,600,left,03,
N1,はいぐうしゃ,配偶者,600,left,,
N1,おふくろ,お袋,600,left,,1
N1,けんざい,健在,600,right,,1
N1,せんだい,先代,600,right,,1
N1,にくしん,肉親,600,right,,1
N1,パパ,papa,600,right,,1
N1,こじ,孤児,601,left,02,
N1,こもりうた,子守歌・子守唄,601,left,03,
N1,しそく,子息,601,left,04,
N1,せがれ,俸,601,left,05,
N1,だっこ,抱っこ,601,left,oe,
N1,ねかす,寝かす,601,left,07,
N1,ねかせる,寝かせる,601,right,08,
N1,ねんちょう,年長,601,right,09,
N1,はいはい,はいはい,601,right,00,
N1,はんえい,臣栄,601,right,11,
N1,ようし,養子,601,right,12,
N1,おれ,俺,601,right,,
N1,じこ,自己,602,left,,1
N1,どくじ,独自,602,left,,1
