level,reading,writing,page,column,entry_no,needs_review,review_reason,ocr_context
N1,れんじつ,連日,532,right,,1,blank_entry_no,"| れんじつ【連日】 / ) 連日,接連幾天"
N1,いきさつ,経緯,532,right,01,,,"1 | いきさつ【経緯】 / ) 原委,經過"
N1,いぜん,依然,532,right,02,,,"2 | いぜん【依然】 / J形動) 依然,仍然,依舊 / い ぜん          ふ けい き"
N1,いにしえ,証,533,left,03,,,03 |いにしえ【証】 / 名 古代 / いにしえ
N1,いまだ,未だ,533,left,04,,,"04 | いまだ【未だ】 / 入 (文)未,還(沒),尚未(後多接否定語) / お"
N1,かつて,,533,left,05,1,blank_writing;suspicious_writing,"05 | かつて / 画 曽経・以前  (後接否定語)至今(未 / 曾) ,從來(沒有)"
N1,かねて,,533,left,06,1,blank_writing;suspicious_writing,"06 | かねて / 便) 事先,早先,原先 / のぞ     たっ"
N1,がんらい,元来,533,left,07,,,07 |がんらい【元来】 / | 人本座・原本生来 / がんらいがいこく   もの
N1,きげん,起源,533,left,08,,,08 |きげん【起源】 / 名) 起源 / き げん   さぐ
N1,けいい,経緯,533,left,09,,,"09 | けいい【経緯】 / 名(事情的)經過""原委'細節;經度和緯度 / 532 | 過去、現在、未來"
N1,こだい,古代,533,right,10,,,| 10 |こだい【古代】 / i @ 古代 / :     こ だいぶんめい しょうかい
N1,さきに,先に,533,right,11,,,| 11 |さきに【先に】 / | 人) 以前・以往 / 3   さき 。 の      國
N1,じきに,,533,right,02,1,blank_writing;suspicious_writing,"| 2 |じきに / | 人 很接近,就快了 / 圏じきに追いつくよ。"
N1,せんこう,先行,533,right,14,,,"| 14 |せんこう【先行】 / i 起 先走 走在前頭: 領先・佑先 / i 優先施行,領先施行"
N1,ニュー,new,534,left,07,,,7 |ニュー【new】            1【 / たんじょう          :
N1,ひさしい,久しい,534,left,08,,,"8 | ひさしい【久しい】           | ! / 多過了很久的時間,長久,好久      :!"
N1,ひところ,一頃,534,left,,1,blank_entry_no,? |ひところ【一頃】     | / る 前半日子 曽有一時        時 / ひところさか。  。 まち ほうかい            :
N1,へんせん,変遷,534,left,20,,,20 |へんせん【変遷】             | / 各店 變遷                       本
N1,ぼうとう,冒豆,534,left,,1,blank_entry_no,。 |ぼうとう【冒豆】 / 、 9起首・開頭 / こうしょう  ほぼ       なんこう            :
N1,うけつける,受け付ける,534,right,01,,,"1 | うけつける【受け付ける】 / 下つ 受理,接受;容納(特指吃藥、東 / 不嘔吐)"
N1,おそくとも,遅くとも,534,right,02,,,"2 | おそくとも【遅くとも】 / ) 最晚,至犀 / おそ        じ    ね"
N1,かぎりない,限りない,534,right,03,,,"3 | かぎりない【限りない】 / 黎 無限,無止盡;無窮無盡;無比, / E常   用"
N1,かみつ,過密,535,left,04,,,"04 |かみつ【過密】 / 名・形動) 過密,過於集中 / 圏過密スケジュール。"
N1,きじつ,期日,535,left,08,,,os | きじつ【期日】 / @ 日期 : 期限 / き じつ  おく
N1,きり,,535,left,oe,1,blank_writing;suspicious_writing,"oe |きり / 巧 内 ・僅: 一…(就…) : (結尾詞用法) / 只,全然"
N1,しゅうき,周期,535,right,08,,,| 08 | しゅうき【周期】 / i る) 周期
N1,ひどり,日取り,535,right,09,,,| 9 |ひどり【日取り】 / i る 規定的日期: 日程
N1,むこう,無効,535,right,00,,,"i 0 |むこう【無効 / 二:形動 無效,失效,作廢"
N1,いえで,家出,536,left,on,,,"on |いえで【家出】            1 06 / 5 逃出家門,逃家;出家為僧   人 / 回娘が家出する。              i 圖"
N1,かまえる,構える,536,left,02,,,"02 | かまえる【構える】          i 9@ / erっ 修建,修築;(轉)自立門戶,住 ; 神 / 在(獨立的房屋) : 採取某種姿勢,擺出 | 信"
N1,かまえ,構え,536,left,03,,,"3 |かまえ【構え】             | e / 3 (房屋等的)架構,格局;(身體的) i / 交勢,架勢;(精神上的)準備      好"
N1,きしむ,皿む,536,left,,1,blank_entry_no,"% |きしむ【皿む】                      1 / 還(兩物相摩擦) 吱吱嘎嘎響     六 / 回床盔喜選悶,         由"
N1,こうきょ,皇居,536,right,,1,blank_entry_no,| こうきょ【皇居】 / 皇居 / こうきょまえひろ ば
N1,こもる,籠もる,536,right,,1,blank_entry_no,"| こもる【籠もる】 / ) 閉門不出 : 包含 : 含鞭 : (煙気等) / 帶,充滿',(房間等)不通風"
N1,じっか,実家,536,right,,1,blank_entry_no,| じっか【実家】 / 娘家 : 親生父母家 / じっ か   もど
N1,しゃたく,社宅,536,right,,1,blank_entry_no,"| しゃたく【社宅】 / 公司的員工住宅,職工宿舍 / しゃたく     つうきん"
N1,そうしょく,装飾,536,right,,1,blank_entry_no,| そうしょく【装飾】 / 他め 裝飾 / てんない  そうしょく
N1,つくり,作り・造り,537,left,01,,,"1 |つくり【作り・造り】 / 仿(建築物的)構造,樣式;製造(的樣 / 式) ;身材,體格;打扮,化妝"
N1,ていたく,邸宅,537,left,12,,,12 | ていたく【邸宅】 / だいていたく   なら / 大邸宅が並んでいる。
N1,どうきよょ,同居,537,left,13,,,"13 | どうきよょ【同居】 / 名・自 同居 : 同住,住在一起 / さんせ だい どうきょ"
N1,とじまり,戸締まり,537,left,14,,,"14 | とじまり【戸締まり】 / る) 關門窗,鎖門 / と じま     わす"
N1,のきなみ人,軒並み,537,left,15,,,"15 | のきなみ人【軒並み】 / 名-玉) 屋簷節比,成排的屋簷 : 家家戸 / 戸 : 毎家 : 一律"
N1,べっきょ,別居,537,left,06,,,"6 | べっきょ【別居】 / 名*自 分居 / 回妻汪別居才名,"
N1,住家的外側,,537,left,36,1,blank_writing;suspicious_writing,536 | 住家的外側
N1,インターホン,interphone,537,right,01,,,| 01 | インターホン【interphone】 / 1 る)(船ヽ飛機、建築物等的) 内部翌講機 / 1                  かくにん
N1,o21えんがわ,緑側,537,right,,1,blank_entry_no;suspicious_reading,| o2 1えんがわ【緑側】 / る@短廊・走鹿
N1,がいかん,外観,537,right,03,,,"03 | がいかん【外観】 / i @ 外觀,外表,外型          1"
N1,かだん,花壇,537,right,04,,,04 |かだん【花壇】 / i 花壇花園
N1,ガレージ,garage,537,right,05,,,i 05 |ガレージ【garage】 / i @ 車庫
N1,がんじょう,頑丈,538,left,00,,,0 |がんじょう【頑丈】     | / sg (構造)堅固; (身體)健壯      | / がんじょう とびら せっち          i
N1,かん,管,538,left,00,,,0 |かん【管】                 1 | / 選管子: (接粗助詞)支 :財管: ji / 筆管;管樂器
N1,さく,机,538,left,08,,,08 |さく【机】                 『「 / 柵欄;城案            1【 / きぐ かこ             6
N1,タイル,tile,538,left,,1,blank_entry_no,% | タイル【tile】                | | / 和 磁磚               1 。 / 上タイル張りの床が少ない。     1 。
N1,だん,壇,538,left,00,,,"0 |だん【壇】                 1 / 點台,壇             時 / か だ                       :"
N1,とびら,扉               1,538,left,,1,blank_entry_no,"|とびら【扉               1 / “月,門扇;(印刷)磋頁 / =びら ひら                  0"
N1,プザー,buzzer,538,left,,1,blank_entry_no,"""|プザー【buzzer】            1 / &%鈴;信號器 / hh"
N1,ほうち,放置,538,right,03,,,"3 | ほうち【放置】                      2 / -他ず) 放置不理,置之不顧       住 / えきまえ   ほう ち じ てんしゃ   へ                房"
N1,やしき人,屋敷,538,right,01,,,1 | やしき人【屋敷】 / 全部 ) 宅地 : 宅邸・ / ば    や しき   はい
N1,こなごな,粉々,538,right,,1,blank_entry_no,| こなごな【粉々】 / 動 粉砕・ 粉末 / こなごな   くだ
N1,すいせん,水洗,538,right,,1,blank_entry_no,| すいせん【水洗】 / 介め 水洗 ・水沖 : 用水沖洗 / い     べんじょ    し よう
N1,すえつける,据え付ける,538,right,,1,blank_entry_no,"| すえつける【据え付ける】 / 號 安裝,安放,安設;裝配,配備; / 定,連接"
N1,すえる,据える,539,left,04,,,"04 |すえる【据える】 / ⑯下つ 安放,設置;擺列,擺放;使坐 / 在… 使就…職位 : 況著(不動) : 針外"
N1,ちゃのま,茶の間,539,left,05,,,"o5 | ちゃのま【茶の間】 / 宮 茶室;,(家裡的)餐廳 / ちゃ   ま   しょくじ"
N1,ながし,流し,539,left,06,,,06 | ながし【流し】 / 人@流・沖 流理台 / なが     に
N1,にゅうよく,入浴,539,left,07,,,"07 | にゅうよく【入浴】 / 名・自 沐浴,入浴,洗澡 / にトゅぁうよくざい   い"
N1,はいすい,排水,539,left,08,,,08 | はいすい【排水】 / 衝.自總 排水 / はいすいこう じ
N1,はいち,配置,539,left,09,,,"09 | はいち【配置】 / 補-や 配置, 安置,部署,配備 : 分泊 / はい     へんこう"
N1,バス,bath,539,right,10,,,i 10 |バス【bath】 / | @) 浴室                       6 / 1                     はい
N1,ユニットバス,(和) unit 十 : bath,539,right,12,,,| 12 | ユニットバス【(和) unit 十 / : bath】 / | @ (色信浴氏、洗手合奥馬桶的) 一骨
N1,ようしき,洋式,539,right,13,,,| 13 | ようしき【洋式】 / | 西式 洋式 ・西洋式        < / :   ようしき
N1,わしき,和式,539,right,15,,,| 15 |わしき【和式】 / | @ 日本式 / :     わ しき
N1,アットホーム,athome,540,left,,1,blank_entry_no,|アットホーム【athome】  ;s / 回 アツ トホームな雰囲気。  0 / 踢舒適的氣氛。            | 給
N1,きょじゅう,居住,540,left,03,,,"03 |きょじゅう【居住】       i 戰 / 時 居住;住址,住處 / ょしゅ   いき                         3"
N1,じゅう,住,540,right,,1,blank_entry_no,"| じゅう【住】 / 人 居住,住處;停住;住宿;住持”_N1 / い しょくじゅうぅ   こと か"
N1,てんきょ,転居,540,right,,1,blank_entry_no,"| てんきょ 【転居】 / 百總 搬家,和遷居 / てんきょさき   てんそう"
N1,ふざい,不在,540,right,,1,blank_entry_no,| ふざい【不在】 / 不在・不在家 / ふ ざいつう ち    う    と
N1,あじわい,味わい,541,left,01,,,"o1 | あじわい【味わい】 / 念 味,味道;趣味,妙處 / あじ            こと ば"
N1,あっさり,,541,left,02,1,blank_writing;suspicious_writing,"02 | あっさり / 罰.自功 (口味)清淡 : (樣式)樸素,不花 / 俏; (個性)坦率,淡泊;簡單,輕鬆"
N1,あまくち,甘口,541,left,03,,,"03 | あまくち【甘口】 / 包帯放味的 ;好吃甜食的人;(騙人的) / 花言巧語,甜言蜜語"
N1,あわせ,合わせ,541,left,04,,,04 | あわせ【合わせ】 / @ (當造語成分用)合在一起;對照; / 比賽;(猛拉鉤絲)鉤住魚
N1,えんぶん,塩分,541,left,05,,,"05 |えんぶん【塩分】 / @) 鹽分,監濃度 / 540 | 用餐、吃、吋道"
N1,かけ,掛け,541,right,oe,,,oe |かけ【掛け】 / (撞必-葷語)(前接動詞連用形)表示動作已
N1,かみきる,噛み切る,541,right,97,,,"| 97 | かみきる【噛み切る】 / ; @俐 咬斷,咬破"
N1,きょう,供,541,right,09,,,| 9 |きょう【供】                   「 / | 遼食事を供する。
N1,しゅしょく,主食,542,left,01,,,1 |しゅしょく【主食】 / る 主食(品) 吧 / 回米を主食とする。       | ィ
N1,ていしょく,定食,542,left,02,,,"2 |ていしょく【定食】       i 上 / 作客飯,套餐                      毗 / ていしLkく 5%うもん                    :"
N1,なまぐさい,生臭い,542,left,03,,,3 |なまぐさい【生臭い】       i 上 / 多發出生魚或生肉的氣味 : 腸    1 / なまぐさ  にお                      :
N1,なめる,,542,left,14,1,blank_writing;suspicious_writing,"14 | なめる                   i 上 / | 和2生;噌;經歷;小看,輕視; (比|. / 、 點火)燒, 吞沒"
N1,ひるめし,昼飯,542,left,,1,blank_entry_no,'% | ひるめし【昼飯】 / る 午飯             1 / 回号人を食う.         |
N1,ふくれる,膨れる・用れる,542,right,,1,blank_entry_no,"| ふくれる 【膨れる・用れる】 / 一脹,腫,鼓起來                    N1 / | お腹が膨れる。"
N1,まずい,不味い,542,right,,1,blank_entry_no,|まずい【不味い】 / uo 入質提分氏看 :不 / 空腹にまずい物なし。
N1,まちまち,区々,542,right,,1,blank_entry_no,"|まちまち【区々】 / 2 形形色色 , 各式各樣 / |噂がまちまちだ。"
N1,みかく,味覚,542,right,,1,blank_entry_no,) | みかく【味覚】 / ) 味覺
N1,みずみずしい,瑞瑞しい,542,right,01,,,"1 | みずみずしい【瑞瑞しい】 / ) 水嫩,嬌嫩;新鮮"
N1,めす,召す,543,left,23,,,"23 | めす【召す】 / (敬語)召見,召喚;吃;喝;穿; / 乗: 入浴;威冒;買"
N1,うめぼし,梅干し,543,left,01,,,"o1 | うめぼし【梅干し】 / る 鹹梅,醃的梅子 / ぼ      つぶ"
N1,おせちりょうり,お節料理,543,left,02,,,]    o2 | おせちりょうり【お節料理】 / る 年菜 / せちりょうり つく
N1,かいとう,解凍,543,left,03,,,03 | かいとう【解凍】 / 衝う 解凍 / 団解凍してから焼く。
N1,カクテル,cocktail,543,left,04,,,"04 | カクテル 【cocktail】 / 含 雞尾酒 / 點力夕地多在飲蕊,"
N1,かしら,頭,543,left,05,,,"05 |かしら【頭】 / 名) 頭,腦袋;頭髮;首領,首腦人物; / 頭一名・頂端・最初"
N1,食物,,543,left,42,1,blank_writing;suspicious_writing,542 | 食物
N1,ゼリー,jelly,543,right,07,,,i 07 |ゼリー【jelly】 / る 果凍 ;膠狀物
N1,ぜん,騰,543,right,oe,,,"| oe |ぜん【騰】 / ; @-接必-漢全(吃飯時放飯菜的)方盤,食"
N1,歷51,雜煮,543,right,09,1,suspicious_reading,| 9 |歷5 1 【雜煮 / | 會 日式年爛湯
N1,i101そえる,添える,543,right,,1,blank_entry_no;suspicious_reading,i 10 1そえる【添える】 / 4 @やつ添・加・附加・配上 : 伴障・階同
N1,ねつりょう,熱量,544,left,02,,,2 |ねつりょう【熱量】       | / る 熱量                | / - ね2りょう はか                         :
N1,はいきゅう,配給,544,left,03,,,3 |はいきゅう【配給】           1 | / g他ず 配給・配人告 ・定量供庵     : | / 。 はいきゅうせい ど   い こう               :
N1,はごたえ,歯応え,544,left,44,,,44 |はごたえ【歯応え】         時 / る 中勤・ 嘱練 : 有幹絢       i |! / せんべい はごた                  5
N1,はちみつ,蜂密,544,left,05,,,5 |はちみつ【蜂密】               【 / る 蜂蜜               ; 1) / はちみつ   ぬ                         5 _
N1,ふんまつ,粉末,544,left,07,,,7 | ふんまつ【粉末】 【 / る 粉末               i 1 / ふんまつじょう                           :
N1,ほし,干し,544,left,08,,,"8 |ほし【干し】 / 5 乾, 晒乾 / bm"
N1,ライス,rice,544,right,,1,blank_entry_no,| | ライス 【rice】 / ) 米飯 / 5ちゅうもん
N1,れいぞう,冷蔵,544,right,,1,blank_entry_no,"| れいぞう【冷蔵】 / -他め 冷藏,冷凍 / にく   れいぞう"
N1,いためる,炒める,545,left,o,,,o |いためる【炒める】 / 下一 炒(菜、 飯等) / 団 にんにくを炒める。
N1,うでまえ,腕前,545,left,02,,,02 | うでまえ【腕前】 / 名 能力・本事・オ幹・ 手藝 / うらでま区   ひ ろう
N1,かきまわす,播き回す,545,left,03,,,"|        03 | かきまわす【播き回す】 / ]    天 攪和,攪拌,混合;亂翻,翻弄, / 翻攪;攪亂,擾亂,胡作非為"
N1,きれめ,切れ目,545,left,04,,,"04 | きれめ【切れ目】 / @) 間断鹿 裂縫 : 間断 , 中断 : 段落 : / 結束"
N1,けむる,煙る,545,left,05,,,"05 | けむる【煙る】 / 角球 冒煙,; 模糊不清,朦朧 / へ や  けむ"
N1,こす,,545,left,oe,1,blank_writing;suspicious_writing,oe | こす / 544 | 調理菜館・宮調
N1,調理菜館・宮調,,545,left,44,1,blank_writing;suspicious_writing,544 | 調理菜館・宮調
N1,しあげ,仕上げ,545,right,07,,,"| o7 |しあげ【仕上げ】 / ; (名・他サ) 做完'完成;做出的結果;最後 / ; 加工,'潤飾"
N1,したあじ,下味,545,right,oe,,,"| oe |したあじ【下味】 / | @ 預先調味,底味 / したあじ"
N1,しみる,洪みる,545,right,oy,,,"| oy |しみる【洪みる】 / i 條Fつ 滲透,浸透 / 1 みず"
N1,すくう,拘う,545,right,10,,,"| 10 |すくう【拘う】                   < / i 人お 抄取,撈取,掏取,百,捧;抄起 / : 對方的腳使跌倒"
N1,せいほう,製法,545,right,01,,,"| 1 |せいほう【製法】 / i @ 製法,作法 / :   本  せいほう  もち"
N1,だいよう,代用,545,right,12,,,| 12 |だいよう【代用】 / ; 全・他ず 代用 / :     はんつぶ のり だいよう              ~
N1,ちょうり,調理,546,left,03,,,3 |ちょうり【調理】        lg / ェる9 高調・作菜 調理・整理・管理   1 回 / 4失を曽理する。                             |  NN
N1,ちょうわ,調和,546,left,04,,,"4 |ちょうわ【調和】 / z邊叻 調和 ・ (顔色 ,聲音等)和諧,(關   i 圖 / 人)協調                                   | 。"
N1,デコレーション,decoration,546,left,04,,,4 |デコレーション【decoration】 / 較デコレーションケーキ。 / 日 花式蛋様・
N1,ねっとう,熱湯,546,left,07,,,7 |ねっとう【熱湯】      | / る熱水開水 / AED            8
N1,ほおん,保温,546,right,,1,blank_entry_no,| ほおん【保温】                      回 / 自 保湿                                    用 / ほ おんこう か                                   餐
N1,みずけ,水気,546,right,,1,blank_entry_no,| みずけ【水気】 / 水分 / みず け           と
N1,いしょう,衣装,547,left,01,,,"01 |いしょう【衣装】 / 名) 衣服,(外出或典禮用的)盛裝;,(戲 / 戲服,劇裝"
N1,いりょう,衣料,547,left,02,,,:           02 |いりょう【衣料】 / :            軸) 衣服;衣料 / 1                い りょうひん   こうにゅう
N1,いるい,衣類,547,left,03,,,03 | いるい【衣類】 / 包) 衣服 衣裳 / い るい
N1,おりもの,織物,547,left,04,,,"04 | おりもの【織物】 / @) 紡織品 ,織品 / おりもの   うで   みが"
N1,サイズ,size,547,left,05,,,"05 | サイズ【size】 / @ (服裝 ,鞋 ,帽等)尺寸 ,大小;尺碼 / 號碼; (婦女的)身材"
N1,さける,裂ける,547,right,oe,,,oe |さける【裂ける】 / | 條下っ 裂 裂開 破裂 / :   ふ   さ
N1,しける,湿気る,547,right,07,,,"| 07 |しける【湿気る】 / (p 潮濕,帶潮氣,受潮 / :   せんたくもの し け"
N1,ジャンパー,jumper,547,right,09,,,"09 |ジャンパー【jumper】 / i る) 工作服,運動服;夾克,短上衣 / 3        すがた さん ぼ"
N1,スラックス,slacks,547,right,10,,,"| 10 |スラックス【slacks】 / i る 西裝褲,寬鬆長褲;女褲 / 圏スラックスをはく。"
N1,そろい,揃い,547,right,01,,,"| 1 |そろい【揃い】 / i 歸.押國 成套,成組,一樣;(多數人)桶 / i 在一起,齊全;(助數詞用法)套,副,組"
N1,たけ,丈,548,left,12,,,"12 |たけ【丈】             | 莘 / g身高・高度:尺寸」長度:融其所有, !.… / 竭無保留                   1 4"
N1,だぶだふぶ,,548,left,13,1,blank_writing;suspicious_writing,"13 | だぶだふぶ  課 / EE? (衣服等)寬大,肥大;(人)肥胖, ! / 訓肉鬆屯;(液體)滿,盈          Ia"
N1,たるみ,,548,left,14,1,blank_writing;suspicious_writing,"14 |たるみ                   1 / 名鬆弛,鬆懈,遲組 / くっした                     i2"
N1,ハイネック,high-necked,548,left,15,,,15 |ハイネック 【high-necked】  和 / 2高領                     1 a / ほ         :
N1,ひっかける,引 っ掛ける,548,right,,1,blank_entry_no,| ひっかける【引 っ掛ける】 / 3 掛起來 ;披上 : 欺騙                   N1 / ようふく か      ひ   か
N1,ほしもの,干し物,548,right,,1,blank_entry_no,| ほしもの【干し物】 / 曬乾物 ;(洗後)晾曬的衣服 / ほ    もの
N1,ユニフォーム,uniform,548,right,,1,blank_entry_no,|ユニフォーム 【uniform】 / 制服 : (統一的)運動服・ 工作服 / ちゃくよう
N1,りゅうこう,流行,548,right,,1,blank_entry_no,| りゅうこう【流行】 / 流行
N1,レース,lace,548,right,,1,blank_entry_no,"|レース 【lace】 / 花邊,蕾絲"
N1,きかざる,着飾る,549,left,o,,,"o | きかざる【着飾る】 / 他五 盛裝,打扮 / は で   を かぎ"
N1,キャップ,cap,549,left,02,,,o2 | キャップ【cap】 / 人 運動帽・棒球帽 : 筆蓋 / んねんひつ
N1,くびかざり,首飾り,549,left,03,,,03 | くびかざり【首飾り】 / 名 項鍊 / はな くびかざ     わた
N1,ジーパン,(和)jeans+pant 之略,549,left,04,,,04 | ジーパン【(和)jeans+pant / 之略】 / 名) 牛仔褲
