level,page,column,entry_no,headword,bracket,ocr_context
N1,530,left,03,たんしゅく,短縮,3 |たんしゅく【短縮】    ig / ロロ時間を短縮する。       | / 罩縮短時間。                       i4
N1,530,left,07,ついやす,費やす,"7 |ついやす【費やす】    1 / 。 用掉',耗費,花費;白費,浪費 ” ji / 目誤月謀費也才。        1"
N1,530,left,38,つかのま,束の間,"38 |つかのま【束の間】             1【 / 2一瞬間,轉眼間,轉瞬      i 1 / つか   ま                                   :"
N1,530,left,03,ときおり,時折,"3 |ときおり【時折】 / 爺有時,偶爾            1 / ときおりおも だ                  1"
N1,530,left,41,ながなが(と,長々(と),41 | ながなが (と) 【長々(と)】 | / | 長長地 冗長: 長久 / 人々と話す」
N1,530,left,42,はやまる,早まる,"42 |はやまる【早まる】         |! / 星 倉促,輕率,貿然;過早,提前 ji"
N1,530,right,,はやめる,速める・早める,"|はやめる【速める・早める】   l9 / F一加速,加快;提前,提早      時 / じこ< はや                    間"
N1,530,right,,まちあわせ,待ち合わせ,| まちあわせ【待ち合わせ】 / )(指定的時間地點) 等候會見 / 家   あ     おく
N1,530,right,05,まっき,未期,5 |まっき【未期】 / ) 末期 最後的時期 ・ 最後階段 : 臨終 / まっ き がん  かんじゃ  たんとう
N1,530,right,07,まつ,未,"7 | まつ【未】 / 志-灌計) 末,底;末尾;末期;,末節 / ねんまつ きょう じ   お"
N1,531,left,49,もちきり,持ち切り,49 | もちきり【持ち切り】 / 名 (某一自時期)始終談論一件事 / わ だい    も     き
N1,531,left,50,よか,余暇,"50 | よか【余暇】 / る 閒暇,業餘時間 / よ か    い"
N1,531,left,51,ルーズ,loose,"51 | ルーズ【loose】 / 名・形動) 鬆懈,鬆弛,散漫,吊兒郎當 / せいかつ   おく"
N1,531,left,01,かくしゅう,隔週,"01 | かくしゅう【隔週】 / 名) 每隔一週,隔週 / かくし*う 。 はっかん"
N1,531,left,02,がんねん,元年,02 | がんねん【元年】 / @ 元年 / へいせいがんねん   はじ
N1,531,left,03,こよみ,大,"03 | こよみ【大】 / 名) 曆,曆書 / こよみ"
N1,531,right,04,サイクル,cycle,04 |サイクル 【cycle】 / 周期循環・一韓 : 自行車      和
N1,531,right,05,しゅうじつ,終日,05 |しゅうじつ【終日】 / る 整天・終日
N1,531,right,,oe1スプリング,spring,"oe 1スプリング【spring】 / : る) 春天;彈簧;跳躍,彈跳"
N1,531,right,07,せつ,節,"| 07 |せつ【節】 / ; 寢.江人 季節 ,人節令;時候,時期 : 節操 :"
N1,531,right,08,せんだって,先だって,"| 08 |せんだって【先だって】 / | る) 前幾天,前些日子,那一天;事先"
N1,532,left,11,ばんねん,映年,11 |ばんねん【映年】                |  【 / ばんねん  むか ~ / 罰晚年在迎又售。         に
N1,532,left,02,ひごろ,日頃,"2 |ひごろ【日頃】       【 / #全平素,平日,平党       1 / ひ ころ    ど りょく    み    むす"
N1,532,left,03,めざめる,目覚める,"3 |めざめる【目覚める】 / ョFっ 醒,睡醒;覺悟,覺醒,發現 ji: / さいのう 芍 ざ"
N1,532,left,14,ゆうぐれ,夕暮れ,14 |ゆうぐれ【夕暮れ】       | / 名黃昏;傍晚            4 / ゆう ぐ
N1,532,left,,ゆうやけ,タ焼け,"、 ""|ゆうやけ【タ焼け】      出 / ゆう       な / 較タ焼けを眺める。       1"
N1,532,left,,よふかし,夜更かし,|よふかし【夜更かし】 / 了
N1,532,right,,よふけ,夜更け,"| よふけ【夜更け】                  回 / 深夜,深更半夜           圖"
N1,532,right,,れんきゅう,連休,| れんきゅう【連休】 / ) 連假
N1,532,right,,れんじつ,連日,"| れんじつ【連日】 / ) 連日,接連幾天"
N1,532,right,01,いきさつ,経緯,"1 | いきさつ【経緯】 / ) 原委,經過"
N1,532,right,02,いぜん,依然,"2 | いぜん【依然】 / J形動) 依然,仍然,依舊 / い ぜん          ふ けい き"
N1,533,left,03,いにしえ,証,03 |いにしえ【証】 / 名 古代 / いにしえ
N1,533,left,04,いまだ,未だ,"04 | いまだ【未だ】 / 入 (文)未,還(沒),尚未(後多接否定語) / お"
N1,533,left,05,かつて,,"05 | かつて / 画 曽経・以前  (後接否定語)至今(未 / 曾) ,從來(沒有)"
N1,533,left,06,かねて,,"06 | かねて / 便) 事先,早先,原先 / のぞ     たっ"
N1,533,left,07,がんらい,元来,07 |がんらい【元来】 / | 人本座・原本生来 / がんらいがいこく   もの
N1,533,left,08,きげん,起源,08 |きげん【起源】 / 名) 起源 / き げん   さぐ
N1,533,left,09,けいい,経緯,"09 | けいい【経緯】 / 名(事情的)經過""原委'細節;經度和緯度 / 532 | 過去、現在、未來"
N1,533,right,10,こだい,古代,| 10 |こだい【古代】 / i @ 古代 / :     こ だいぶんめい しょうかい
N1,533,right,11,さきに,先に,| 11 |さきに【先に】 / | 人) 以前・以往 / 3   さき 。 の      國
N1,533,right,02,じきに,,"| 2 |じきに / | 人 很接近,就快了 / 圏じきに追いつくよ。"
N1,533,right,14,せんこう,先行,"| 14 |せんこう【先行】 / i 起 先走 走在前頭: 領先・佑先 / i 優先施行,領先施行"
N1,534,left,07,ニュー,new,7 |ニュー【new】            1【 / たんじょう          :
N1,534,left,08,ひさしい,久しい,"8 | ひさしい【久しい】           | ! / 多過了很久的時間,長久,好久      :!"
N1,534,left,,ひところ,一頃,? |ひところ【一頃】     | / る 前半日子 曽有一時        時 / ひところさか。  。 まち ほうかい            :
N1,534,left,20,へんせん,変遷,20 |へんせん【変遷】             | / 各店 變遷                       本
N1,534,left,,ぼうとう,冒豆,。 |ぼうとう【冒豆】 / 、 9起首・開頭 / こうしょう  ほぼ       なんこう            :
N1,534,right,01,うけつける,受け付ける,"1 | うけつける【受け付ける】 / 下つ 受理,接受;容納(特指吃藥、東 / 不嘔吐)"
N1,534,right,02,おそくとも,遅くとも,"2 | おそくとも【遅くとも】 / ) 最晚,至犀 / おそ        じ    ね"
N1,534,right,03,かぎりない,限りない,"3 | かぎりない【限りない】 / 黎 無限,無止盡;無窮無盡;無比, / E常   用"
N1,535,left,04,かみつ,過密,"04 |かみつ【過密】 / 名・形動) 過密,過於集中 / 圏過密スケジュール。"
N1,535,left,08,きじつ,期日,os | きじつ【期日】 / @ 日期 : 期限 / き じつ  おく
N1,535,left,oe,きり,,"oe |きり / 巧 内 ・僅: 一…(就…) : (結尾詞用法) / 只,全然"
N1,535,right,08,しゅうき,周期,| 08 | しゅうき【周期】 / i る) 周期
N1,535,right,09,ひどり,日取り,| 9 |ひどり【日取り】 / i る 規定的日期: 日程
N1,535,right,00,むこう,無効,"i 0 |むこう【無効 / 二:形動 無效,失效,作廢"
N1,536,left,on,いえで,家出,"on |いえで【家出】            1 06 / 5 逃出家門,逃家;出家為僧   人 / 回娘が家出する。              i 圖"
N1,536,left,02,かまえる,構える,"02 | かまえる【構える】          i 9@ / erっ 修建,修築;(轉)自立門戶,住 ; 神 / 在(獨立的房屋) : 採取某種姿勢,擺出 | 信"
N1,536,left,03,かまえ,構え,"3 |かまえ【構え】             | e / 3 (房屋等的)架構,格局;(身體的) i / 交勢,架勢;(精神上的)準備      好"
N1,536,left,,きしむ,皿む,"% |きしむ【皿む】                      1 / 還(兩物相摩擦) 吱吱嘎嘎響     六 / 回床盔喜選悶,         由"
N1,536,right,,こうきょ,皇居,| こうきょ【皇居】 / 皇居 / こうきょまえひろ ば
N1,536,right,,こもる,籠もる,"| こもる【籠もる】 / ) 閉門不出 : 包含 : 含鞭 : (煙気等) / 帶,充滿',(房間等)不通風"
N1,536,right,,じっか,実家,| じっか【実家】 / 娘家 : 親生父母家 / じっ か   もど
N1,536,right,,しゃたく,社宅,"| しゃたく【社宅】 / 公司的員工住宅,職工宿舍 / しゃたく     つうきん"
N1,536,right,,そうしょく,装飾,| そうしょく【装飾】 / 他め 裝飾 / てんない  そうしょく
N1,537,left,01,つくり,作り・造り,"1 |つくり【作り・造り】 / 仿(建築物的)構造,樣式;製造(的樣 / 式) ;身材,體格;打扮,化妝"
N1,537,left,12,ていたく,邸宅,12 | ていたく【邸宅】 / だいていたく   なら / 大邸宅が並んでいる。
N1,537,left,13,どうきよょ,同居,"13 | どうきよょ【同居】 / 名・自 同居 : 同住,住在一起 / さんせ だい どうきょ"
N1,537,left,14,とじまり,戸締まり,"14 | とじまり【戸締まり】 / る) 關門窗,鎖門 / と じま     わす"
N1,537,left,15,のきなみ人,軒並み,"15 | のきなみ人【軒並み】 / 名-玉) 屋簷節比,成排的屋簷 : 家家戸 / 戸 : 毎家 : 一律"
N1,537,left,06,べっきょ,別居,"6 | べっきょ【別居】 / 名*自 分居 / 回妻汪別居才名,"
N1,537,left,36,住家的外側,,536 | 住家的外側
N1,537,right,01,インターホン,interphone,| 01 | インターホン【interphone】 / 1 る)(船ヽ飛機、建築物等的) 内部翌講機 / 1                  かくにん
N1,537,right,,o21えんがわ,緑側,| o2 1えんがわ【緑側】 / る@短廊・走鹿
N1,537,right,03,がいかん,外観,"03 | がいかん【外観】 / i @ 外觀,外表,外型          1"
N1,537,right,04,かだん,花壇,04 |かだん【花壇】 / i 花壇花園
N1,537,right,05,ガレージ,garage,i 05 |ガレージ【garage】 / i @ 車庫
N1,538,left,00,がんじょう,頑丈,0 |がんじょう【頑丈】     | / sg (構造)堅固; (身體)健壯      | / がんじょう とびら せっち          i
N1,538,left,00,かん,管,0 |かん【管】                 1 | / 選管子: (接粗助詞)支 :財管: ji / 筆管;管樂器
N1,538,left,08,さく,机,08 |さく【机】                 『「 / 柵欄;城案            1【 / きぐ かこ             6
N1,538,left,,タイル,tile,% | タイル【tile】                | | / 和 磁磚               1 。 / 上タイル張りの床が少ない。     1 。
N1,538,left,00,だん,壇,"0 |だん【壇】                 1 / 點台,壇             時 / か だ                       :"
N1,538,left,,とびら,扉               1,"|とびら【扉               1 / “月,門扇;(印刷)磋頁 / =びら ひら                  0"
N1,538,left,,プザー,buzzer,"""|プザー【buzzer】            1 / &%鈴;信號器 / hh"
N1,538,right,03,ほうち,放置,"3 | ほうち【放置】                      2 / -他ず) 放置不理,置之不顧       住 / えきまえ   ほう ち じ てんしゃ   へ                房"
N1,538,right,01,やしき人,屋敷,1 | やしき人【屋敷】 / 全部 ) 宅地 : 宅邸・ / ば    や しき   はい
N1,538,right,,こなごな,粉々,| こなごな【粉々】 / 動 粉砕・ 粉末 / こなごな   くだ
N1,538,right,,すいせん,水洗,| すいせん【水洗】 / 介め 水洗 ・水沖 : 用水沖洗 / い     べんじょ    し よう
N1,538,right,,すえつける,据え付ける,"| すえつける【据え付ける】 / 號 安裝,安放,安設;裝配,配備; / 定,連接"
N1,539,left,04,すえる,据える,"04 |すえる【据える】 / ⑯下つ 安放,設置;擺列,擺放;使坐 / 在… 使就…職位 : 況著(不動) : 針外"
N1,539,left,05,ちゃのま,茶の間,"o5 | ちゃのま【茶の間】 / 宮 茶室;,(家裡的)餐廳 / ちゃ   ま   しょくじ"
N1,539,left,06,ながし,流し,06 | ながし【流し】 / 人@流・沖 流理台 / なが     に
N1,539,left,07,にゅうよく,入浴,"07 | にゅうよく【入浴】 / 名・自 沐浴,入浴,洗澡 / にトゅぁうよくざい   い"
N1,539,left,08,はいすい,排水,08 | はいすい【排水】 / 衝.自總 排水 / はいすいこう じ
N1,539,left,09,はいち,配置,"09 | はいち【配置】 / 補-や 配置, 安置,部署,配備 : 分泊 / はい     へんこう"
N1,539,right,10,バス,bath,i 10 |バス【bath】 / | @) 浴室                       6 / 1                     はい
N1,539,right,12,ユニットバス,(和) unit 十 : bath,| 12 | ユニットバス【(和) unit 十 / : bath】 / | @ (色信浴氏、洗手合奥馬桶的) 一骨
N1,539,right,13,ようしき,洋式,| 13 | ようしき【洋式】 / | 西式 洋式 ・西洋式        < / :   ようしき
N1,539,right,15,わしき,和式,| 15 |わしき【和式】 / | @ 日本式 / :     わ しき
N1,540,left,,アットホーム,athome,|アットホーム【athome】  ;s / 回 アツ トホームな雰囲気。  0 / 踢舒適的氣氛。            | 給
N1,540,left,03,きょじゅう,居住,"03 |きょじゅう【居住】       i 戰 / 時 居住;住址,住處 / ょしゅ   いき                         3"
N1,540,right,,じゅう,住,"| じゅう【住】 / 人 居住,住處;停住;住宿;住持”_N1 / い しょくじゅうぅ   こと か"
N1,540,right,,てんきょ,転居,"| てんきょ 【転居】 / 百總 搬家,和遷居 / てんきょさき   てんそう"
N1,540,right,,ふざい,不在,| ふざい【不在】 / 不在・不在家 / ふ ざいつう ち    う    と
N1,541,left,01,あじわい,味わい,"o1 | あじわい【味わい】 / 念 味,味道;趣味,妙處 / あじ            こと ば"
N1,541,left,02,あっさり,,"02 | あっさり / 罰.自功 (口味)清淡 : (樣式)樸素,不花 / 俏; (個性)坦率,淡泊;簡單,輕鬆"
N1,541,left,03,あまくち,甘口,"03 | あまくち【甘口】 / 包帯放味的 ;好吃甜食的人;(騙人的) / 花言巧語,甜言蜜語"
N1,541,left,04,あわせ,合わせ,04 | あわせ【合わせ】 / @ (當造語成分用)合在一起;對照; / 比賽;(猛拉鉤絲)鉤住魚
N1,541,left,05,えんぶん,塩分,"05 |えんぶん【塩分】 / @) 鹽分,監濃度 / 540 | 用餐、吃、吋道"
N1,541,right,oe,かけ,掛け,oe |かけ【掛け】 / (撞必-葷語)(前接動詞連用形)表示動作已
N1,541,right,97,かみきる,噛み切る,"| 97 | かみきる【噛み切る】 / ; @俐 咬斷,咬破"
N1,541,right,09,きょう,供,| 9 |きょう【供】                   「 / | 遼食事を供する。
N1,542,left,01,しゅしょく,主食,1 |しゅしょく【主食】 / る 主食(品) 吧 / 回米を主食とする。       | ィ
N1,542,left,02,ていしょく,定食,"2 |ていしょく【定食】       i 上 / 作客飯,套餐                      毗 / ていしLkく 5%うもん                    :"
N1,542,left,03,なまぐさい,生臭い,3 |なまぐさい【生臭い】       i 上 / 多發出生魚或生肉的氣味 : 腸    1 / なまぐさ  にお                      :
N1,542,left,14,なめる,,"14 | なめる                   i 上 / | 和2生;噌;經歷;小看,輕視; (比|. / 、 點火)燒, 吞沒"
N1,542,left,,ひるめし,昼飯,'% | ひるめし【昼飯】 / る 午飯             1 / 回号人を食う.         |
N1,542,right,,ふくれる,膨れる・用れる,"| ふくれる 【膨れる・用れる】 / 一脹,腫,鼓起來                    N1 / | お腹が膨れる。"
N1,542,right,,まずい,不味い,|まずい【不味い】 / uo 入質提分氏看 :不 / 空腹にまずい物なし。
N1,542,right,,まちまち,区々,"|まちまち【区々】 / 2 形形色色 , 各式各樣 / |噂がまちまちだ。"
N1,542,right,,みかく,味覚,) | みかく【味覚】 / ) 味覺
N1,542,right,01,みずみずしい,瑞瑞しい,"1 | みずみずしい【瑞瑞しい】 / ) 水嫩,嬌嫩;新鮮"
N1,543,left,23,めす,召す,"23 | めす【召す】 / (敬語)召見,召喚;吃;喝;穿; / 乗: 入浴;威冒;買"
N1,543,left,01,うめぼし,梅干し,"o1 | うめぼし【梅干し】 / る 鹹梅,醃的梅子 / ぼ      つぶ"
N1,543,left,02,おせちりょうり,お節料理,]    o2 | おせちりょうり【お節料理】 / る 年菜 / せちりょうり つく
N1,543,left,03,かいとう,解凍,03 | かいとう【解凍】 / 衝う 解凍 / 団解凍してから焼く。
N1,543,left,04,カクテル,cocktail,"04 | カクテル 【cocktail】 / 含 雞尾酒 / 點力夕地多在飲蕊,"
N1,543,left,05,かしら,頭,"05 |かしら【頭】 / 名) 頭,腦袋;頭髮;首領,首腦人物; / 頭一名・頂端・最初"
N1,543,left,42,食物,,542 | 食物
N1,543,right,07,ゼリー,jelly,i 07 |ゼリー【jelly】 / る 果凍 ;膠狀物
N1,543,right,oe,ぜん,騰,"| oe |ぜん【騰】 / ; @-接必-漢全(吃飯時放飯菜的)方盤,食"
N1,543,right,09,歷51,雜煮,| 9 |歷5 1 【雜煮 / | 會 日式年爛湯
N1,543,right,,i101そえる,添える,i 10 1そえる【添える】 / 4 @やつ添・加・附加・配上 : 伴障・階同
N1,544,left,02,ねつりょう,熱量,2 |ねつりょう【熱量】       | / る 熱量                | / - ね2りょう はか                         :
N1,544,left,03,はいきゅう,配給,3 |はいきゅう【配給】           1 | / g他ず 配給・配人告 ・定量供庵     : | / 。 はいきゅうせい ど   い こう               :
N1,544,left,44,はごたえ,歯応え,44 |はごたえ【歯応え】         時 / る 中勤・ 嘱練 : 有幹絢       i |! / せんべい はごた                  5
N1,544,left,05,はちみつ,蜂密,5 |はちみつ【蜂密】               【 / る 蜂蜜               ; 1) / はちみつ   ぬ                         5 _
N1,544,left,07,ふんまつ,粉末,7 | ふんまつ【粉末】 【 / る 粉末               i 1 / ふんまつじょう                           :
N1,544,left,08,ほし,干し,"8 |ほし【干し】 / 5 乾, 晒乾 / bm"
N1,544,right,,ライス,rice,| | ライス 【rice】 / ) 米飯 / 5ちゅうもん
N1,544,right,,れいぞう,冷蔵,"| れいぞう【冷蔵】 / -他め 冷藏,冷凍 / にく   れいぞう"
N1,545,left,o,いためる,炒める,o |いためる【炒める】 / 下一 炒(菜、 飯等) / 団 にんにくを炒める。
N1,545,left,02,うでまえ,腕前,02 | うでまえ【腕前】 / 名 能力・本事・オ幹・ 手藝 / うらでま区   ひ ろう
N1,545,left,03,かきまわす,播き回す,"|        03 | かきまわす【播き回す】 / ]    天 攪和,攪拌,混合;亂翻,翻弄, / 翻攪;攪亂,擾亂,胡作非為"
N1,545,left,04,きれめ,切れ目,"04 | きれめ【切れ目】 / @) 間断鹿 裂縫 : 間断 , 中断 : 段落 : / 結束"
N1,545,left,05,けむる,煙る,"05 | けむる【煙る】 / 角球 冒煙,; 模糊不清,朦朧 / へ や  けむ"
N1,545,left,oe,こす,,oe | こす / 544 | 調理菜館・宮調
N1,545,left,44,調理菜館・宮調,,544 | 調理菜館・宮調
N1,545,right,07,しあげ,仕上げ,"| o7 |しあげ【仕上げ】 / ; (名・他サ) 做完'完成;做出的結果;最後 / ; 加工,'潤飾"
N1,545,right,oe,したあじ,下味,"| oe |したあじ【下味】 / | @ 預先調味,底味 / したあじ"
N1,545,right,oy,しみる,洪みる,"| oy |しみる【洪みる】 / i 條Fつ 滲透,浸透 / 1 みず"
N1,545,right,10,すくう,拘う,"| 10 |すくう【拘う】                   < / i 人お 抄取,撈取,掏取,百,捧;抄起 / : 對方的腳使跌倒"
N1,545,right,01,せいほう,製法,"| 1 |せいほう【製法】 / i @ 製法,作法 / :   本  せいほう  もち"
N1,545,right,12,だいよう,代用,| 12 |だいよう【代用】 / ; 全・他ず 代用 / :     はんつぶ のり だいよう              ~
N1,546,left,03,ちょうり,調理,3 |ちょうり【調理】        lg / ェる9 高調・作菜 調理・整理・管理   1 回 / 4失を曽理する。                             |  NN
N1,546,left,04,ちょうわ,調和,"4 |ちょうわ【調和】 / z邊叻 調和 ・ (顔色 ,聲音等)和諧,(關   i 圖 / 人)協調                                   | 。"
N1,546,left,04,デコレーション,decoration,4 |デコレーション【decoration】 / 較デコレーションケーキ。 / 日 花式蛋様・
N1,546,left,07,ねっとう,熱湯,7 |ねっとう【熱湯】      | / る熱水開水 / AED            8
N1,546,right,,ほおん,保温,| ほおん【保温】                      回 / 自 保湿                                    用 / ほ おんこう か                                   餐
N1,546,right,,みずけ,水気,| みずけ【水気】 / 水分 / みず け           と
N1,547,left,01,いしょう,衣装,"01 |いしょう【衣装】 / 名) 衣服,(外出或典禮用的)盛裝;,(戲 / 戲服,劇裝"
N1,547,left,02,いりょう,衣料,:           02 |いりょう【衣料】 / :            軸) 衣服;衣料 / 1                い りょうひん   こうにゅう
N1,547,left,03,いるい,衣類,03 | いるい【衣類】 / 包) 衣服 衣裳 / い るい
N1,547,left,04,おりもの,織物,"04 | おりもの【織物】 / @) 紡織品 ,織品 / おりもの   うで   みが"
N1,547,left,05,サイズ,size,"05 | サイズ【size】 / @ (服裝 ,鞋 ,帽等)尺寸 ,大小;尺碼 / 號碼; (婦女的)身材"
N1,547,right,oe,さける,裂ける,oe |さける【裂ける】 / | 條下っ 裂 裂開 破裂 / :   ふ   さ
N1,547,right,07,しける,湿気る,"| 07 |しける【湿気る】 / (p 潮濕,帶潮氣,受潮 / :   せんたくもの し け"
N1,547,right,09,ジャンパー,jumper,"09 |ジャンパー【jumper】 / i る) 工作服,運動服;夾克,短上衣 / 3        すがた さん ぼ"
N1,547,right,10,スラックス,slacks,"| 10 |スラックス【slacks】 / i る 西裝褲,寬鬆長褲;女褲 / 圏スラックスをはく。"
N1,547,right,01,そろい,揃い,"| 1 |そろい【揃い】 / i 歸.押國 成套,成組,一樣;(多數人)桶 / i 在一起,齊全;(助數詞用法)套,副,組"
N1,548,left,12,たけ,丈,"12 |たけ【丈】             | 莘 / g身高・高度:尺寸」長度:融其所有, !.… / 竭無保留                   1 4"
N1,548,left,13,だぶだふぶ,,"13 | だぶだふぶ  課 / EE? (衣服等)寬大,肥大;(人)肥胖, ! / 訓肉鬆屯;(液體)滿,盈          Ia"
N1,548,left,14,たるみ,,"14 |たるみ                   1 / 名鬆弛,鬆懈,遲組 / くっした                     i2"
N1,548,left,15,ハイネック,high-necked,15 |ハイネック 【high-necked】  和 / 2高領                     1 a / ほ         :
N1,548,right,,ひっかける,引 っ掛ける,| ひっかける【引 っ掛ける】 / 3 掛起來 ;披上 : 欺騙                   N1 / ようふく か      ひ   か
N1,548,right,,ほしもの,干し物,| ほしもの【干し物】 / 曬乾物 ;(洗後)晾曬的衣服 / ほ    もの
N1,548,right,,ユニフォーム,uniform,|ユニフォーム 【uniform】 / 制服 : (統一的)運動服・ 工作服 / ちゃくよう
N1,548,right,,りゅうこう,流行,| りゅうこう【流行】 / 流行
N1,548,right,,レース,lace,"|レース 【lace】 / 花邊,蕾絲"
N1,549,left,o,きかざる,着飾る,"o | きかざる【着飾る】 / 他五 盛裝,打扮 / は で   を かぎ"
N1,549,left,02,キャップ,cap,o2 | キャップ【cap】 / 人 運動帽・棒球帽 : 筆蓋 / んねんひつ
N1,549,left,03,くびかざり,首飾り,03 | くびかざり【首飾り】 / 名 項鍊 / はな くびかざ     わた
N1,549,left,04,ジーパン,(和)jeans+pant 之略,04 | ジーパン【(和)jeans+pant / 之略】 / 名) 牛仔褲
N1,549,left,05,せいそう,盛装,"05 | せいそう【盛装】 / 名生2) 盛裝,華麗的裝束 / せいそう  4"
N1,549,left,96,ねじれる,,96 | ねじれる / 自F 崩曲・歪拓 : (個性)例健・幣提 / 較ネクタイがねじれる。
N1,549,right,07,はえる,映える,"io7 |はえる【映える】 / i 下っ 照・映照? (昭得)好看 :  ,"
N1,549,right,om,はげる,剥げる,| om | はげる【剥げる】 / 自下二 剝落;襯色
N1,549,right,09,ブーツ,boots,"| 09 | ブーツ 【boots】 / i 全 長筒鞋,長筒靴,馬鞋"
N1,549,right,10,ぶかぶか,,10 |ぶかぶか / i 歸直疙(帽 、褲)太大不合身;漂浮貌;(人)
N1,549,right,11,ほどける,解ける,"| 11|ほどける【解ける】 / i 點 解開,鬆開"
N1,549,right,12,ゆるめる,緩める,"| 12 | ゆるめる【緩める】 / 下っ 放鬆 ,合鬆懈;鬆弛;放慢速度"
N1,550,left,00,あおむけ,仰向け,0 | あおむけ【仰向け】         1中 / s 向上仰               1 / ぁお む    ね                  :
N1,550,left,,うるおう,潤う,"% |うるおう【潤う】           i 加 / 翁 潤濕 ;手頭寬裕 ;受惠,沾光     | / はだ うるお               :"
N1,550,left,05,おがと,,"05 | おがと                 1 / |おおがら【大柄】 / を 身材大,骨架大;大花樣     |"
N1,550,left,,おおがら,大柄,"|おおがら【大柄】 / を 身材大,骨架大;大花樣     | / 図 大庄 んなさわ 、だ          1"
N1,550,right,,からだつき,体付き,"| からだつき【体付き】 / 體格,體型,姿態"
N1,550,right,,きたえる,鍛える,| きたえる【鍛える】 / からだ きた / 体を鍛える。
N1,550,right,,きゃしゃ,華著,"|きゃしゃ【華著】 / 》身體或容姿織細,高雅,柔弱;東 / 散得不堅回 ・容易壊 ;纖細,苗條 ;"
N1,551,left,11,くぐる,,"11 |くぐる / 」    AS 通過,走過;潛水;狂測 / 団暖鷹をくぐる。"
N1,551,left,12,けっかん,血管,12 | けっかん 【血管】 / 名) 血管 / けっかん   9
N1,551,left,13,こがら,小柄,"13 | こがら【小柄】 / 名-形動 身體短小; (布料、裝飾等的 / 小花樣,小碎花"
N1,551,left,14,じんたい,人体,"14 | じんたい【人体】 / @ 人體,人的身體 / じんたい   がい"
