level,page,column,entry_no,headword,bracket,ocr_context
N3,145,left,27,まよなか,真夜中,"27 | まよなか【真夜中】 / 人 三更半夜,深夜 / ま よ なか   め   さ"
N3,145,left,28,やかん,夜間,28 | やかん【夜間】 / @ 夜間・夜晩 / 144 | 季節・年・月ヽ週日
N3,145,left,44,季節・年・月ヽ週日,,144 | 季節・年・月ヽ週日
N3,145,right,01,いっさくじつ,昨日,"| o1 | いっさくじつ【昨日】 / ; @ 前一天,前天"
N3,145,right,02,いっさくねん,一昨年,02 | いっさくねん【一昨年】 / 8   いっさくねん ゆき おお
N3,145,right,04,きゅうじつ,休日,"| 04 |きゅうじつ【休日】 / 人る) 假日,休息日"
N3,145,right,05,げじゅん,下旬,05 | げじゅん【下旬】 / i ろ) 下旬
N3,146,left,oe,げつまつ,月末,oe | げつまつ【月末】 ・       1 1 / @) 月末ヽ 月底           1 / りょうきん 。 げつまつ はら              3
N3,146,left,07,さく,昨,07 |さく【昨】                  | 1 / < 昨天 : 前一年・前一季 以前・剛去 6 / さくばん に ほん    5 かえ                       3
N3,146,left,08,さくじつ,昨日,"08 | さくじつ【昨日】       1 / @(「寺作3 的鄭重說法)昨日,昨天 6 / さくじつはは 。 、。 てがみ とど            :"
N3,146,left,00,さくねん,昨年,0 | さくねん【昨年】      1 / 生生) 去年            1 6 / さくねん くら                      3
N3,146,left,19,じつ,日,19 | じつ【日】                   1 / ) 太陽 : 日・一天白天 : 毎天   1 6 / よくじつ    とど                    :
N3,146,left,01,しゅう,周,1 |しゅう【周】                    1 / 名:江守 星期 : 一圈        1 G / しゅう 。 いっかいうんどう                  :
N3,146,left,,回週,- 1 回運動する。      i【,回週[- 1 回運動する。      i【 / 廊 每周運動一次。         1
N3,146,right,,しゅうまつ,週末,| しゅうまつ【週末】 / 週末                ^上上 / しゅうまつ   うんどう
N3,146,right,,じょうじゅん,上旬,| じょうじゅん【上旬】 / 上旬 / らいげつじょうじゅん   りょこう
N3,146,right,04,せんじつ,先日,4 | せんじつ【先日】 / 前天;前些日子 / せんじつ 。 たなか      あ
N3,146,right,,ぜんじつ,前日,| ぜんじつ【前日】 / 前一天 / にゅうがくしき     ぜんじつ     きんちょう
N3,146,right,,ちゅうじゅん,中旬,| ちゅうじゅん【中旬】 / (一個月中的)中旬
N3,146,right,,ねんし,年始,| ねんし【年始】 / 年初 : 賀年・寿年 / ねん し    あいさつ うかが
N3,147,left,18,ねんまつねんし,年末年始,18 | ねんまつねんし【年末年始】 / 名) 年底與新年 / ねんまつねん し
N3,147,left,19,へいじつ,平日,"19 | へいじつ【平日】 / “全 (星期日、節假日以外)平日; 平常, / 平素"
N3,147,left,20,ほんじつ,本日,20 | ほんじつ【本日】 / @ 本日 : 今日 / ほんじつ      すす
N3,147,left,21,ほんねん,本年,21 | ほんねん【本年】 / @ 本年 ・ 今年 / ほんねん
N3,147,left,22,みょう,明,22 |みょう【明】 / 更め (相對於「今」而言的)明 / みょうにち      よ てい
N3,147,left,23,みょうごにち,明後日,23 | みょうごにち 【明後日】 / る 後天 / 2ょう ご にち   えん き
N3,147,right,24,ようび,曜日,| 24 | ようび【曜日】 / i @) 星期
N3,147,right,25,よく,翌,i 25 |よく【翌】 / i (人 次*翌・第二
N3,147,right,26,よくじつ,翌日,26 |よくじつ【翌日】 / る 隔天・第二天
N3,147,right,ot,いご,以後,"ot |いご【以後】 / | る 今後 ,以後 ,將來;(接尾語用法)(在"
N3,147,right,02,いぜん,以前,02 | いぜん【以前】 / ; る) 以前 : 更低階段(程度)的 : (某時期)
N3,147,right,03,げんだい,現代,"| 03 |げんだい【現代】 / i @ 現代,當代;(歷史)現代(日本史上"
N3,148,left,04,こんご,今後,"04 | こんご【今後】           1 / g 今後,以後,將來        i( / きま   かんが_           i |"
N3,148,left,08,じご,事後,os | じご【事後】             和 / g 事後             1 1 / じ ご 。 けいか<く た            と
N3,148,left,oe,じぜん,事前,oe | じぜん【事前】           生 / 多事前             品 / じぜん はな あ              時6
N3,148,left,07,すぎる,過ぎる,07 |すぎる【過ぎる】             計 / 枉== 超過;過於;經過       1 1 / じ  す                 を
N3,148,left,08,ぜん,前,"08 |ぜん【前】              和 / <前方,前面 : (時間)早 預先 : 従前 ji ! / ぜんしゅしょう 。 かんこく ほうもん         id"
N3,148,left,00,ちょくご,直後,0 | ちょくご【直後】 / 宮画) (時間 距離)緊接著・剛…之後・ / …之後不久
N3,148,right,,ちょくぜん,直前,) | ちょくぜん【直前】                    = / ) 即將...之前 ・眼看就要…的時候:(時 聞 / ]・ 距離)之前・ 眼前・眼前
N3,148,right,04,のち,後,4 |のち【後】 / )後・之後 : 今後・未來 : 死後 身後 / は        くも     とかけ
N3,148,right,,ふる,古,"| ふる【古】 / -漢造) 舊東西;舊,舊的 / よ     ほん  ふるほん や    う"
N3,148,right,,みらい,未来,"| みらい【未来】 / ,將來,未來;(佛)來世 / み らい    まま.そく"
N3,148,right,,人StA,來,|人StA【來】 / ) 以來 / かれ        ねんらい   う    あ     K
N3,149,left,01,かん,間,"01 | かん【間】 / gg 間,機會,間隙 / 回 五日間の京都旅行も終わった。"
N3,149,left,03,きかん,期間,03 | きかん【期間】 / る 期間・ 期限内
N3,149,left,04,圳{了,期限,04 |圳{了 【期限】 / る 期限
N3,149,left,95,シーズン人,season,95 | シーズン人【season】 / る (盛行的)季節・時期
N3,149,left,66,しめきり,締め切り,"66 | しめきり【締め切り】 / 多(時間、期限等)截止,屆滿;封死 / 封閉;,截斷,斷流"
N3,149,right,07,ていき,定期,| 07 | ていき【定期】 / i 各 定期・一定的期限 / | 圏エレベーターは定期的に調べる.
N3,149,right,08,まにあわせる,間に合わせる,"| 08 | まにあわせる【間に合わせる】 / 5 臨時湊合 '就將;使來得及,趕出來 / :   しめきり  ま  あ"
N3,150,left,01,うつす,移す,"01 | うつす【移す】            | | / (W) 移,搬;使傳染;度過時間    | / 団住まいを移す。        |"
N3,150,left,02,きたく,帰宅,02 | きたく【帰宅】 | / 名:貞サ) 回家                       : / かいしゃ     埋 だで                   : 1
N3,150,left,03,くらす,暮らす,03 | くらす【暮らす】           | | / (gg) 生活 ・度日 / たの                        :
N3,150,left,04,けん・げん,軒,"04 | けん・げん【軒】            | / ) 軒昂,高昂;屋簷;表房屋數量, ji / 書齋,商店等雅號          |"
N3,150,left,05,じょう,晴,05 | じょう【晴】 / 人) (計算草薩、席塾)塊・得:重時 ; / じょう          す
N3,150,right,06,すごす,過ごす,"6 | すごす【過ごす】 / 五・接尾) 度(日子ヽ時間) ,過生活;過 / 過量;放過,不管"
N3,150,right,07,せいけつ,清潔,"7 | せいけつ【清潔】 / ・形動) 乾淨的,清潔的;廉潔;純潔 / せいけつ  たも"
N3,150,right,08,ひっこし,引っ越し,8 |ひっこし【引っ越し】 / ) 搬家・揚居 / 引っ越しをする。
N3,150,right,,マンション,mansion,?。 |マンション【mansion】 / ) 公寓大廈; (高級)公寓 / こうきゅう              す
N3,150,right,o,るすばん,留守番,o | るすばん【留守番】 / ) 看家・ 看家人 / る すばん
N3,151,left,12,わが,我が,"12 | わが【我が】 / 讓坊) 我的,自己的,我們的 / 點我刻宗入,上皮記三,"
N3,151,left,01,とじる,閉じる,01 | とじる【閉じる】 / (自上六 閉 ・ 開閉 結束 / し    と
N3,151,left,02,ノック,knock,02 |ノック 【knock】 / 名・他サ) 敲打; (來訪者)敲門;打球 / おと    き
N3,151,left,03,ベランダ,veranda,03 | ベランダ 【veranda】 / @) 陽台; 走廊 / はな   つぎつぎ   さ
N3,151,left,04,やね,屋根,04 | やね【屋根】 / @) 屋頂 / や ね   ー お
N3,151,left,05,やぶる,破る,05 | やぶる【破る】 / (五) 弄破;破壇;違反;打敗;打破(記鉛 / やぶ     はい
N3,151,right,oe,ロック,lock,| oe |ロック【lock】               | / | (名:他サ 鎖・鎖上・閉鎖 / :            こわ
N3,151,right,01,誤尤万素名,暖未名,"i 01 |誤尤万素名【暖未名】 / | 人5) 暖,暖和;威到溫暖;手頭寬裕 / :    へ や あたた"
N3,151,right,02,いま,居間,| 02 | いま【居間】 / | る超居室 / | 圏居間を掃除する。
N3,151,right,08,かざり,飾り,os | かざり【飾り】 / i @ 裝飾(品) / :    かざ
N3,151,right,00,きく,効く,"| 0 |きく【効く】 / i () 有效,奏效;好用,能幹;可以, / i 能夠;起作用;(交通工具等)通,有"
N3,151,right,05,キッチン,kitchen,| 05 | キッチン【kitchen】 / i @ 廚房 / にんき  、
N3,152,left,oe,しんしつ,寝室,oe | しんしつ【寝室】          | 1 / しんしつ やす   し               : / 圏 寝室で休んだ。        i 器
N3,152,left,07,せんめんじょ,洗面所,o7 | せんめんじょ【洗面所】 1 / @ 化妝室'廁所           | 色 / せんめんじょ かお あら              !
N3,152,left,08,ダイニング,dining,"08 | ダイニング 【dining】        | 1 / 含 餐廳(「父了二之今心一和,之略稱); !e / 吃飯,用餐;西式餐館        1"
N3,152,left,09,たな,棚,09 | たな【棚】                : だ / 會 (放置東西的)隔板 ・ 架子 ・棚    : 品 / か し たな お              5 和
N3,152,left,10,つまる,詰まる,"10 | つまる【詰まる】           6 / 倆) 擠滿,塞滿;堵塞,不通;罕困, : 上 / 窘迫;縮短,緊小;停頓,擱淺    |"
N3,152,left,11,てんじょう,天井,11 | てんじょう【天井】         1 / @ 天花板 / てんじょう  本   い                :
N3,152,left,12,はしら,欄,12 | はしら【欄】 / 把) (建)柱子;支柱;(轉)靠山” ji【 / はしら たお               : 點
N3,152,right,,プラインド,blind,"| プラインド 【blind】 / 百葉窗,窗簾,遮光物        N3 / お"
N3,152,right,,ふろ(ば,風呂 (場),| ふろ (ば)【風呂 (場) 】 / 浴室 : 洗河間 : 浴池
N3,152,right,,まどり,間取り,"| まどり【間取り】 / (房子的)房間佈局,採間,平面佈局 / ま ど"
N3,152,right,,もうふ,毛布,"| もうふ【毛布】 / 毛毯,壬子"
N3,152,right,,ゆか,床,|ゆか【床】 / 地板
N3,152,right,,よわめる,弱める,| よわめる【弱める】 / ドー) 減弱 ・削弱
N3,152,right,,リビング,living,|リビング 【living】 / 起居間 生活間
N3,153,left,01,あぶら,脂,"01 | あぶら【脂】 / 名) 脂肪,油脂;(喻)活動力,幹勁 / あぶら"
N3,153,left,02,うまい,,"02 | うまい / 形 味道好,好吃;想法或做法巧妙 / 擅於 ; 非常適宜,順利"
N3,153,left,03,さげる,下げる,03 | さげる 【下げる】 / (了下二) 向下 : 掛 : 収走 / さ
N3,153,left,04,さめる,冷める,"04 | さめる【冷める】 / 自F二(熱的東西)變冷,涼; (熱情、』 / 趣等)降低,減退"
N3,153,left,05,しょくご,食後,05 | しょくご【食後】 / @) 飯後・食後 / しょく ご  くすり   の
N3,153,right,06,しょくぜん,食前,| 06 | しょくぜん【食前】 / 人る) 飯前 / :   しょくぜん         て 。 あら_
N3,153,right,07,すっぱい,酸っぱい,| o7 |すっぱい【酸っぱい】 / | め酸・酸的 / H   うめ ぼ            き
N3,153,right,08,マナー,manner,"| 08 | マナー 【manner】 / | @ 禮貌,規矩;態度舉止,風格 / :    しょく じ"
N3,153,right,00,メニュー,menu,i 0 | メニュー【menu】 / | る) 菜單 / | 較ディナーのメニューをご覧くだ
N3,153,right,00,ランチ,Iunch,| 0 |ランチ【Iunch】 / | 會午餐 / | 圖 5蒂拖夕了A(~馬一入乙在食信儿
N3,154,left,01,アイスクリーム,icecream,01 | アイスクリーム【icecream】 ; / 団アイスクリームを食べる。   1 0 / 02 | あぶら【油】               1
N3,154,left,02,あぶら,油,"02 | あぶら【油】               1 / き 脂肪,油脂            主 / さかな あぶら 。 あ  .                 1"
N3,154,left,03,インスタント,instant,03 |インスタント 【instant】       i / を 即席・征加工即可的・深成 ji / 還インスタントコーヒーを飲む。
N3,154,left,95,オレンジ,orange,"95 | オレンジ 【orange】         ig / 急柳橙,柳丁;欄色              【 / 図オレンジは全部食べた。    1て"
N3,154,left,06,ガム,(英) gum,06 | ガム【(英) gum】 / 今口香糖 ;樹膠                   | 還 / 図ガムを噛む。         |
N3,154,right,,かゆ,紗,"| かゆ【紗】 / 粥,稀飯                                  N3 / かゆ    た"
N3,154,right,,かわ,皮,"|かわ【皮】 / 肥 , 表皮 : 皮革"
N3,154,right,,くさる,腐る,"|くさる【腐る】 / 5 腐臭,腐爛 : 金属鏡 畑 : 障落・ / 敗 : 消況・所人"
N3,154,right,,ケチャップ,ketchup,| ケチャップ 【ketchup】 / 蕃茄醬
N3,154,right,,ICELk3,胡椒,ICELk3【胡椒】 / 胡椒
N3,154,right,,さけ,酒,| さけ【酒】 / 酒(的總稱) ・ 日本酒 ・ 清酒 / さけ さかずき   い
N3,155,left,13,しゅ,酒,13 | しゅ【酒】 / ぶ どうしゅ   の / 図 往久酒を飲む。
N3,155,left,14,ジュース,juice,"14 | ジュース 【juice】 / 名 果汁,汁液,糖汁,肉汁 / ジュースを飲む。"
N3,155,left,15,しょよくりょう,食料,15 | しょよくりょう【食料】 / 名 食品 食物 / しょくりょう   ほ ぞん
N3,155,left,16,しょくりょよう,食糧,16 | しょくりょよう【食糧】 / 名) 食糧 ・ 糧食 / しょくりょう    ゆ にゅうぅ
N3,155,left,17,しんせん,新鮮,"17 | しんせん【新鮮】 / (食物)新鮮;,清新乾淨;新累 / 全新"
N3,155,left,09,スープ,soup,9 | スープ【soup】 / @ 湯(多指西餐的湯) / 154 | 食物
N3,155,right,20,ソース,sauce,| 20 | ソース【sauce】 / … | る (丁袋用)調味交 / 1         うる
N3,155,right,21,チーズ,cheese,| 21 | チーズ【cheese】 / … 1 因超司・乳本 / 3         か
N3,155,right,22,チップ,chip,| 22 |チップ【chip】 / … : 包 (削木所留下的)片削 : 洋芋片 / :                た
N3,155,right,23,ちゃ,茶,"| 23 |ちゃ【茶】 / er きき 茶 茶樹 茶葉 茶水 / | 國茶在入杞如,"
N3,155,right,24,デザート,desser,"| 24 |デザート【desser】 / i @) 餐後點心,甜點(大多泛指較西式的 / | 圏デザートを食べる。"
N3,155,right,25,ドレッシング,dressing,| 25 | ドレッシング 【dressing】 / … 調味料・挫汁: 服装装飾 / : 岡サラダにドレッシングをかける>
N3,156,left,27,なま,生,"27 | なま【生】 6 / 名.形動) (食物沒有煮過、烤過)生的;直  8 / 接的',不加修飾的;不熟練,不到火候   | a"
N3,156,left,28,ビール,(和荷) bier,28 | ビール【(和荷) bier】          | 加 / @ 酒             | / ビールを飲む。 3!
N3,156,left,29,ファストフード,fastfood,29 | ファストフード【fastfood】 ; 和 / る) 速食 / た
N3,156,left,30,べんとう,弁当,30 | べんとう【弁当】 01 / 便曽・飯食            1 / べんとう 2<                       1
N3,156,left,31,まぜる,混ぜる,"31 |まぜる【混ぜる】             | 02 / 介〒で) 混入 : 加上,加進;攪,攪拌   | 臣 / 較ビールとジュースを混ぜる。  ; 國"
N3,156,left,32,マヨネーズ,mayonnaise,"32 |マヨネーズ【mayonnaise】 / @ 美旋滋, 蛋黃鋒         |"
N3,156,right,,みそしる,味噌汁,| みそしる 【味噌汁】               回 / 味噌湯                                  由 / わたし はは   まいあさみ そしる   うる
N3,156,right,,ミルク,milk,| ミルク 【milk】 / 和牛奶;煉乳 / こうちゃ                い
N3,156,right,,ワイン,wine,| ワイン 【wine】 / 葡萄酒;水果酒;洋酒 / しろ           あ
N3,156,right,,あげる,揚げる,"| あげる 【揚げる】 / 二) 炸,油炸;舉,抬;提高;進步 / てん        あ"
N3,156,right,,あたためる,温める,"| あたためる【温める】 / 5) 溫,熱;擱置不發表"
N3,157,left,03,こぼす,溢す,"03 | こぼす【溢す】 / tt 灑,漏,溢(液體),落(粉末); / 牢騷,抱怨"
N3,157,left,04,たく,炊く,"04 | たく【炊く】 / f五) 點火,燒著;燃燒;煮飯,燒菜 / はん   た"
N3,157,left,05,たける,炊ける,"05 | たける【炊ける】 / 年F二) 燒成飯,做成飯 / はん   た"
N3,157,left,06,つよめる,強める,06 | つよめる【強める】 / (下二) 加強 ・ 増強 / ひ   つ直
N3,157,left,07,てい,低,07 | てい【低】 / 名:漠造) (位置)低;(價格等)低;變人 / ていおん              や
N3,157,left,08,にえる,煮える,"08 | にえる【煮える】 / 自F二 煮熟 ,煮爛; 水燒開;固體融化 / 泥狀) ; 發怒,非常氣憤"
N3,157,left,09,にる,煮る,09 | にる【煮る】 / 156 | 調理、菜餚、烹調
N3,157,right,00,ひやす,冷やす,"| 0 | ひやす【冷やす】 / | @5 使變涼,冰鎮;(喻)使冷靜 / ~ | 國冷藏庫~冷宮,"
N3,157,right,01,它<,囊<,i 1 |它<【囊<】 / i 國器刀亡在贅<。 / | 譯肖蘋果皮。
N3,157,right,12,むす,蒸す,| 12 |むす【蒸す】 / ; (他五.五) 蒸熱 (涼的食品) : (天気) 際 / | 圏内まんを蒸す。
N3,157,right,13,ゆでる,茹でる,"| 13 |ゆでる【茹でる】 / | (= (用開水)煮・混 / i 圖上上<茹蕊名,"
N3,157,right,14,わく,沸く,| 14 |わく【沸く】 / : (5 煮沸 煮開 : 興奮 / | 団お湯が沸く。
N3,157,right,15,わる,割る,"| 15 |わる【割る】 / i ⑯E) 打,和劈開;用除法計算 / :  たまご ゎわ"
N3,158,left,o,又d,襟,"o |又d【襟】               ; 加 / 澀(衣服的)領子; 脖頸 ,後頸;(西裝的) ; / 硬領                          |"
N3,158,left,02,才一八一(己一卜,overcoat,"02 |才一八一(己一卜)【overcoat】; 8 / 含大衣,外套,外衣        | / き                 :"
N3,158,left,03,ジーンズ,jeans,03 |ジーンズ【jeans】          | / @ 牛他笠 / 較ジーンズをはく。       |
N3,158,left,94,ジャケット,jacket,"94 |ジャケット【jacket】         ; 品 / 急外套 , 短上衣 ; 唱片封面      1 / 較ジャケットを着る。      7"
N3,158,left,05,二之,福,05 |二之【福】                  | 回 / 計時 擺'下宰: 山腳;(靠近頸部的) | / 較ジーンズの手が汚れた。    |
N3,158,right,,せいふく,制服,| せいふく【制服】 / 制服 / せいふく   き
N3,158,right,,そで,袖,"| そで【袖】 / 衣袖 : (京子)十側抽履 : (大門)雨 / 的廳房'舞台的兩側,飛機(兩翼)"
N3,158,right,,タイプ,type,"| タイプ【type】 / 本 , 標本 : (印)鉛字 : 活字 :打字(機) / ふく"
N3,158,right,,ティーシャツ,T-shirt,"|ティーシャツ 【T-shirt】 / 圓領衫,T〒恤 / き"
N3,158,right,,パンツ,pants,| パンツ 【pants】 / 內褲;短褲;運動短褲 / パンツをはく。
N3,159,left,11,パンプス,pumps,"11 | パンプス 【pumps】 / 名 女用的高跟皮鞋,淑女包鞋 / パンプスをはく。"
N3,159,left,12,ぴったり,,"12 | ぴったり / 凡-自功 緊緊地 ,嚴實地;怡好 ,正適1 / 說中,猜中"
N3,159,left,13,プラウス,blouse,"13 | プラウス 【blouse】 / 包) (多半為女性穿的)罩衫,襯衫 / せんたく"
N3,159,left,14,ぼろぼろ,,14 | ぼろぼろ / (名・副・形動) (衣服等)破爛不堪;(粒獎 / 散落貌
N3,159,left,01,きがえ,着替え,01 | きがえ【着替え】 / 換衣服 : 換洗衣物 / いそ      き が       す
N3,159,left,02,きがえる・きかえる,着替え,02 | きがえる・きかえる【着替え / (sエー) 換衣服 / き もの   き が
N3,159,right,03,スカーフ,scarf,"io3 | スカーフ【scarf】 / i 人 圍巾,披肩;領結"
N3,159,right,04,ストッキング,stocking,04 |ストッキング 【stocking】 / す i る 褲襪;長筒襪
N3,159,right,05,スニーカー,sneakers,WD | 05 |スニーカー 【sneakers】 / 3               つうきん
N3,159,right,00,ぞうり,草履,"“和0 | ぞうり【草履】 / | 儿 草履,草鞋"
N3,159,right,07,ソックス,socke,。 07 |ソックス【socke】 / ; 名 短襪
N3,159,right,08,とおす,通す,"| 08 | とおす【通す】 / | (他f-押地) 穿通 ,貫穿;滲透 ,透過;連續,"
N3,160,left,11,バッグ,bag,11 |バッグ【bag】            i1 / @ 手提包              1 / さい ふ    い                    :
N3,160,right,,ベルト,belt,| ベルト 【belt】 / 皮帶; (機)傳送帶 : (地)地帶         N3
N3,160,right,,ヘルメット,helmet,"| ヘルメット 【helmet】 / 安全帽;頭盔,鋼盔"
N3,160,right,,マフラー,muffler,| マフラー 【muffler】 / 圍巾; (汽車等的)滅音器
N3,161,left,01,あたたまる,温まる,"o1 | あたたまる【温まる】 / 中5) 暖,暖和;威到心情溫暖 / からだ あたた"
N3,161,left,03,うごかす,動かす,"o3 | うごかす【動かす】 / ⑯5) 移動,挪動,活動;搖動,搖哲 / 給予影響',使其變化,威動"
N3,161,left,04,かける,掛ける,"04 | かける【掛ける】 / (了下二反思) 坐;懸掛;蓋上,放上; / 在‧“‧之上;提交;澆;開動;花費;"
N3,161,left,05,かた,肩,05 | かた【肩】 / @ 肩 肩勝 : (衣服的)肩 / 160 | 胴鳴、身骨
N3,161,right,oe,こし,腰,oe | こし【腰】 / | 中 腰:(衣服、補子等的)腰身 / | 較腰が痛い。
N3,161,right,09,しり,尻,": 9 |しり【尻】 / ; @) 屁股,臀部;(移動物體的)後方, / | 後面;末尾,最後;(長物的)末端"
N3,161,right,08,バランス,balance,"08 | バランス 【balance】 / i @ 平衡,均衡,均等 / :           と"
N3,161,right,09,ひふ,皮膚,09 | ひふ【皮膚】 / 用 5 る皮膚 / 奇 :   ふゆ 。 ひふ よわ
N3,162,left,01,ほね,骨,1 | ほね【骨】                1 0 / 骨頭 : 費力無的事               1 人 / ほね 、お                        :
N3,162,left,12,むける,剥ける,"12 | むける【剥ける】              i 0 / 中っ 剝落,脫落 (他 / はな かわ                    3"
N3,162,left,13,むね,胸,13 | むね【胸】                 | 0 / 俞 胸部;內心 っ / むね いた
N3,162,left,14,もむ,揉む,"14 | もむ【揉む】               | / 晤) 搓,採;捏 ,按摩;(很多人)互相推擠; ji @ / 爭辯; (被動式型態)鍾鍊,受磨練     中"
N3,162,left,02,うぅ,,"02 | うぅ                        | 轉 / うつる【映る】 / ef) 映,照 ;顯得,映入;相配,相稱;"
N3,162,left,,うつる,映る,"うつる【映る】 / ef) 映,照 ;顯得,映入;相配,相稱; / 圓相,映現"
N3,162,right,,四<,嗅7,"|四<【嗅7】 / ) (用鼻子)聞,噢 / はな   かお"
N3,162,right,,かみのけ,髪の毛,| かみのけ【髪の毛】 / 頭髮 / かみ   け    き
N3,162,right,,くちびる,辱,| くちびる【辱】 / 嘴唇 / ちびる   あお
N3,162,right,,くびが,首,| くびが【首】 / 頸部 / くび   いた
N3,162,right,,した,舌,| した【舌】 / 吾頭説話 : 吉光物 / した   なが
N3,163,left,oy,だまる,駄る,"oy | だまる【駄る】 / Bi 沉默,不說話;不理,不間不問 / だま  めいれい したが_"
N3,163,left,10,はなす,離す,10 | はなす【離す】 / @、使…離開・使…分開 : 隔開・# / 距離
N3,163,left,11,ひたい,額,"11 | ひたい【額】 / る 前額,額頭;物體突出部分 / ひたい あせ  はたら"
N3,163,left,12,ひようじょう,表情,12 | ひようじょう【表情】 / 名) 表情 / ひょうじょう  くら
N3,163,left,13,ほお,類,"13 | ほお【類】 / 包) 頰,臉蛋 / あか"
N3,163,left,14,まつげ,まつ毛,14 | まつげ 【まつ毛】 / @ 睫毛 / げ
N3,163,left,15,未六友,瞼,"15 |未六友【瞼】 / @) 眼瞼,眼皮 / 162 | 手腳(1)"
N3,163,right,07,みかける,見掛ける,"| 7 | みかける【見掛ける】 / | (@〒ー) 看到,看出,看見 : 開始看 / のじょ     えき 。 み"
N3,163,right,01,あくしゅ,握手,"| o1 | あくしゅ【握手】 / ; 生身 握手 : 和解 ・吉和 : 合作 ,妥協; / | 會師,會合"
N3,163,right,02,あしくぴ,足首,| 02 |あしくぴ【足首】 / | 會腳踝 / :  あしくび あたた
N3,163,right,03,うめる,埋める,"| 03 | うめる【埋める】 / ; (ドー) 埋,掩埋;填補,彌補;佔滿 / かね  う"
N3,164,left,04,おさえる,押さえる,"04 | おさえる【押さえる】       國, / 6 按,壓;扣住 ,勒住;控制,阻止; ji各 / 扣住扣留超群出眾        |"
N3,164,left,05,おやゆび,親指,05 | おやゆび【親指】           點 / る (手腳的)的拇指          1 品 / て 。 おやゆび いた         :
N3,164,left,06,かかと,貴,06 | かかと【貴】 / 倪腳後跟              ; 區 / かかと たか くつ は         : 番
N3,164,left,00,誠<,瓜<,"0 |誠<【瓜<】             各- / @ (用手或扑)搔,撥;拔,推;攪拌, : / 攪和                回"
N3,164,left,08,くすりゆび,薬指,08 | くすりゆび【薬指】        | / る@ 無名指 / 〈#すりゆび 。 ゆびわ 點
N3,164,left,09,こゆび,小指,9 | こゆび【小指】              | 人 / 小指豆                | ー / こ ゆび                     : 圓
