level,reading,writing,page,column,entry_no,needs_review
N3,未己,孫,181,right,08,reading_has_non_kana
N3,約LA,姪,181,right,10,reading_has_non_kana;reading_has_ocr_artifact
N3,エネルギー,(徳)energie,185,right,01,suspicious_katakana_writing;writing_has_ocr_artifact
N3,プラスチック,plastic・astics,186,right,,suspicious_katakana_writing;writing_has_ocr_artifact
N3,いじょうきしょう,上異常気9,187,left,02,writing_has_unexpected_chars
N3,c喜k3,故鄉,190,left,05,reading_has_non_kana;reading_has_ocr_artifact
N3,ちかづく人,近づく,194,right,,reading_has_non_kana
N3,コッビニ.(エンスストア,コッビニ.(エンスストア,197,right,09,reading_has_non_kana;writing_has_unexpected_chars;unbalanced_parentheses
N3,之<,速度,199,right,10,reading_has_non_kana;reading_has_ocr_artifact
N3,ダイヤ,diamond・diagramji-之略,200,left,01,suspicious_katakana_writing;writing_has_ocr_artifact
N3,たかめる人,高める,200,left,12,reading_has_non_kana
N3,ラッシュ人,rush,201,left,25,reading_has_non_kana;writing_has_unexpected_chars
N3,才許2,混雜,201,right,oe,reading_has_non_kana
N3,ジェットき,jet機,201,right,07,writing_has_unexpected_chars;writing_has_ocr_artifact
N3,ホーム,platform之略,202,right,,suspicious_katakana_writing;writing_has_ocr_artifact
N3,讓靈寢約,書留,204,left,03,reading_has_non_kana
N3,アンケート,(法)enquete,205,left,01,suspicious_katakana_writing;writing_has_ocr_artifact
N3,テレビばんぐみ,television番組,206,right,07,writing_has_unexpected_chars;writing_has_ocr_artifact
N3,マスコミ,mass)mmunication之略,206,right,,suspicious_katakana_writing;writing_has_ocr_artifact;unbalanced_parentheses
N3,體育運動,體育運動,207,left,06,reading_has_non_kana
N3,了二入,animation,209,left,01,reading_has_non_kana;writing_has_unexpected_chars
N3,かるた,carta・歌留多,209,left,02,writing_has_unexpected_chars;writing_has_ocr_artifact
N3,エスエフ(SF,science-1fiction,211,right,02,reading_has_non_kana;writing_has_unexpected_chars;reading_has_ocr_artifact;unbalanced_parentheses
N3,数目,数目,213,left,12,reading_has_non_kana
N3,そく人,足,217,left,25,reading_has_non_kana
N3,量ヽ容量、長度ヽ面積ヾ重量等(?,31|つき【付き,218,left,,reading_has_non_kana;writing_has_unexpected_chars;writing_has_ocr_artifact;unbalanced_parentheses;unbalanced_brackets
N3,ミリ,(法)millimetre之略,220,left,55,suspicious_katakana_writing;writing_has_ocr_artifact
N3,ぎつぎと,次々・次々に・次々<,221,left,,writing_has_unexpected_chars;writing_has_ocr_artifact
N3,心各語言,柴,223,right,27,reading_has_non_kana
N3,きほんてき(な,基本的(な),224,right,,unbalanced_parentheses
N3,ほけんたいいく,保健体f,225,left,16,writing_has_unexpected_chars
N3,學校,學校,225,left,24,reading_has_non_kana
N3,ちゅうがく人,中学,226,right,02,reading_has_non_kana
N3,學生生活,學生生活,227,left,26,reading_has_non_kana
N3,特左款已健XL,夸玉衝-,229,left,01,reading_has_non_kana;writing_has_unexpected_chars;reading_has_ocr_artifact
N3,工具(0,工具(0,229,left,28,reading_has_non_kana;writing_has_unexpected_chars;unbalanced_parentheses
N3,ゴム,(荷)gom,229,right,06,suspicious_katakana_writing;writing_has_ocr_artifact
N3,六悶,蓋,231,left,24,reading_has_non_kana
N3,ペンキ,(荷)pek,231,left,28,suspicious_katakana_writing;writing_has_ocr_artifact
N3,工具(2,工具(2,231,left,30,reading_has_non_kana;writing_has_unexpected_chars;unbalanced_parentheses
N3,和和,梳‧碗,232,left,39,reading_has_non_kana;writing_has_unexpected_chars
N3,カード人,card,232,right,06,reading_has_non_kana;writing_has_unexpected_chars
N3,でんしレンジ,電子range,234,left,27,writing_has_unexpected_chars;writing_has_ocr_artifact
N3,ミシン,sewingmachine之略,234,right,05,suspicious_katakana_writing;writing_has_ocr_artifact
N3,站/,瓶,235,left,03,reading_has_non_kana
N3,容器類,容器類,235,left,34,reading_has_non_kana
N3,CDドライブ,CDdrive,235,right,01,reading_has_non_kana;writing_has_unexpected_chars;reading_has_ocr_artifact
N3,DVDデッキ,DVDtapededd,235,right,02,reading_has_non_kana;writing_has_unexpected_chars;reading_has_ocr_artifact
N3,DVDドライブ,DVDdrive,235,right,03,reading_has_non_kana;writing_has_unexpected_chars;reading_has_ocr_artifact
N3,太sg@3A寢3,懷中電煙,235,right,05,reading_has_non_kana;reading_has_ocr_artifact
N3,つける人,点ける,236,left,12,reading_has_non_kana
N3,でんきスタンド,電気stand,236,right,,writing_has_unexpected_chars;writing_has_ocr_artifact
N3,工作職場,工作職場,239,left,38,reading_has_non_kana
N3,うんてんしゅ人,運転手,241,left,06,reading_has_non_kana
N3,スポーツせんしゅ,sports選手,243,right,33,writing_has_unexpected_chars;writing_has_ocr_artifact
N3,台k30UUL調理師,台k30UUL調理師,243,right,37,reading_has_non_kana;writing_has_unexpected_chars;reading_has_ocr_artifact;writing_has_ocr_artifact
N3,パート,parttime之略,244,left,04,suspicious_katakana_writing;writing_has_ocr_artifact
N3,プロ,professional之略,244,right,,suspicious_katakana_writing;writing_has_ocr_artifact
N3,家務,家務,245,left,44,reading_has_non_kana
N3,交易,交易,247,left,46,reading_has_non_kana
N3,twdU3站,醫療費,249,right,02,reading_has_non_kana;reading_has_ocr_artifact
N3,タクシーだい,taxi代,251,left,23,writing_has_unexpected_chars;writing_has_ocr_artifact
N3,タクシーりょうきん,taxi料,251,left,24,writing_has_unexpected_chars;writing_has_ocr_artifact
N3,チケットだい,ticket代,251,left,25,writing_has_unexpected_chars;writing_has_ocr_artifact
N3,バスだい,bus代,252,left,34,writing_has_unexpected_chars;writing_has_ocr_artifact
N3,バスりょうきん,bus料金,252,left,35,writing_has_unexpected_chars;writing_has_ocr_artifact
N3,レンタルりょう,rental料,252,right,,writing_has_unexpected_chars;writing_has_ocr_artifact
N3,L上3,省,254,left,05,reading_has_non_kana
N3,万/,彈,255,right,08,reading_has_non_kana
N3,かんじる・かんずる,感じる・:E感ずる,258,left,02,writing_has_unexpected_chars
N3,ふちゅうい(な,不注意(な),262,left,02,unbalanced_parentheses
N3,かんそう人,感想,266,right,00,reading_has_non_kana
N3,まし(な,まし(な,267,left,17,unbalanced_parentheses
N3,つける,付ける・附ける.i着ける,269,right,21,writing_has_unexpected_chars
N3,ふかのう(な,不可能(な),270,left,29,unbalanced_parentheses
N3,護(WALw<,解生,270,left,92,reading_has_non_kana;reading_has_ocr_artifact;unbalanced_parentheses
N3,未志未名,纏未名,271,right,09,reading_has_non_kana
N3,在獲得知識・1,、4|かん【観,272,left,,reading_has_non_kana;writing_has_unexpected_chars;writing_has_ocr_artifact;unbalanced_brackets
N3,おまちください,"お待ちく,さい",277,left,21,writing_has_unexpected_chars
N3,おまちどおさま,お待ち.おさま,277,left,22,writing_has_unexpected_chars
N3,ACC,敬語,277,right,27,reading_has_non_kana;reading_has_ocr_artifact
N3,や1すみません,済みません,278,left,,reading_has_non_kana
N3,なぜなら(ば,何故なら((,279,left,46,unbalanced_parentheses
N3,バイパイ人,bye-bye,279,right,48,reading_has_non_kana;writing_has_unexpected_chars
N3,ろんじる・ろんずる,論じる・“論ずる,280,left,57,writing_has_unexpected_chars
N3,しばる人,縛る,284,right,,reading_has_non_kana
N3,ながびく人,長引く,286,left,38,reading_has_non_kana
N3,站也!,日付,289,right,32,reading_has_non_kana
N3,譯天亮・1,40|よなか【夜中,290,left,,reading_has_non_kana;writing_has_unexpected_chars;writing_has_ocr_artifact;unbalanced_brackets
N3,期間期限i,01|いちじ【一時,292,left,,reading_has_non_kana;writing_has_unexpected_chars;writing_has_ocr_artifact;unbalanced_brackets
N3,之3,別往,294,left,19,reading_has_non_kana
N3,かわら人,瓦,294,right,04,reading_has_non_kana
N3,扎儿大,煉瓦,295,left,09,reading_has_non_kana
N3,圭杞(A,綺麗.奇麗,295,right,06,reading_has_non_kana;writing_has_unexpected_chars;unbalanced_parentheses
N3,人廊才未,袂,296,right,,reading_has_non_kana
N3,未大<,跨<,297,left,22,reading_has_non_kana;writing_has_unexpected_chars;reading_has_ocr_artifact;writing_has_ocr_artifact
N3,加已卅,器3,298,left,09,reading_has_non_kana;writing_has_unexpected_chars
N3,世衝万寢,獻立,298,right,09,reading_has_non_kana
N3,じょうひん人,上品,299,left,16,reading_has_non_kana
N3,食物,食物,301,left,00,reading_has_non_kana
N3,放說釣,鱗名.焙台,302,right,01,reading_has_non_kana;writing_has_unexpected_chars
N3,餐廚用具,餐廚用具,303,left,02,reading_has_non_kana
N3,大未,穴,303,right,01,reading_has_non_kana
N3,記已,是,303,right,03,reading_has_non_kana
N3,あびる人,浴びる,309,left,01,reading_has_non_kana
N3,臉(0,臉(0,311,left,10,reading_has_non_kana;writing_has_unexpected_chars;unbalanced_parentheses
N3,宅訊立<,吧<,312,left,14,reading_has_non_kana;writing_has_unexpected_chars;reading_has_ocr_artifact;writing_has_ocr_artifact
N3,臉(2,臉(2,313,left,12,reading_has_non_kana;writing_has_unexpected_chars;unbalanced_parentheses
N3,手腳,手腳,315,left,14,reading_has_non_kana
N3,もちあげる人,持ち上げる,316,right,07,reading_has_non_kana
N3,のびのび(と,伸び伸び(と),319,right,10,unbalanced_parentheses
N3,いじょう,異常1,320,left,05,writing_has_unexpected_chars
N3,痛疼,痛疼,321,left,20,reading_has_non_kana
N3,XU人做,啼,324,right,05,reading_has_non_kana;reading_has_ocr_artifact
N3,身體器官功能,身體器官功能,325,left,24,reading_has_non_kana
N3,人物,人物,327,left,26,reading_has_non_kana
N3,各種人物的稱呼(1,各種人物的稱呼(1,329,left,28,reading_has_non_kana;writing_has_unexpected_chars;unbalanced_parentheses
N3,じゅんきょうじゅ,准教#,331,left,29,writing_has_unexpected_chars;writing_has_ocr_artifact
N3,各種人物的稱呼(2,各種人物的稱呼(2,331,left,30,reading_has_non_kana;writing_has_unexpected_chars;unbalanced_parentheses
N3,台LY,著者,332,left,04,reading_has_non_kana;reading_has_ocr_artifact
N3,各種人物相關團體的稱呼,各種人物相關團體的稱呼,333,left,32,reading_has_non_kana
N3,尺崗上<,魅力,335,left,17,reading_has_non_kana;reading_has_ocr_artifact
N3,人六!2,不潔,339,right,54,reading_has_non_kana
N3,人際關係(1,人際關係(1,341,left,40,reading_has_non_kana;writing_has_unexpected_chars;unbalanced_parentheses
N3,人際開係2,人際開係2,343,left,42,reading_has_non_kana;writing_has_unexpected_chars
N3,和(At,箇,346,left,03,reading_has_non_kana;reading_has_ocr_artifact;unbalanced_parentheses
N3,夫婦,夫婦,347,left,46,reading_has_non_kana
N3,選之AU,子孫,349,left,02,reading_has_non_kana;reading_has_ocr_artifact
N3,一{二寶,翼,351,left,12,reading_has_non_kana;reading_has_ocr_artifact
N3,埋議,牙,351,right,oz,reading_has_non_kana
N3,U25革,女尾,351,right,08,reading_has_non_kana;reading_has_ocr_artifact
N3,孖又名,吠允名,352,right,,reading_has_non_kana
N3,直下,桃,353,right,00,reading_has_non_kana
N3,求<,蔚<,356,right,,reading_has_non_kana;writing_has_unexpected_chars;reading_has_ocr_artifact;writing_has_ocr_artifact
N3,さびる人,錆びる,367,left,10,reading_has_non_kana
N3,選有有,霜,367,right,12,reading_has_non_kana
N3,太言,漳,372,left,03,reading_has_non_kana
N3,和1たにぞこ,谷底,372,left,,reading_has_non_kana
N3,ふうけい,風景1,374,left,04,writing_has_unexpected_chars
N3,みなれる人,見慣れる,374,right,01,reading_has_non_kana
N3,和扳必万tA,溫帶,377,left,07,reading_has_non_kana;reading_has_ocr_artifact
N3,しゅうへん人,周辺,378,right,,reading_has_non_kana
N3,万客(\,滿在,387,right,,reading_has_non_kana;unbalanced_parentheses
N3,口E一,lobby,388,right,,reading_has_non_kana;writing_has_unexpected_chars
N3,ずらり(と,ずらり(と,391,left,17,unbalanced_parentheses
N3,かそく人,加速,393,left,05,reading_has_non_kana
N3,ベん人,便,394,right,,reading_has_non_kana
N3,へヘリコプター,helicopter,397,left,24,writing_has_unexpected_chars
N3,パンク,puncture之略,399,left,19,suspicious_katakana_writing;writing_has_ocr_artifact
N3,みょう,明,147,left,22,source_meaning_requires_confirmation
N3,じょう,晴,150,left,05,source_writing_and_meaning_require_confirmation
