level,reading,writing,page,column,entry_no,needs_review,review_reason,ocr_headword,ocr_bracket,ocr_context
N2,しょうみ,正味,284,right,,,,しょうみ,正味,"「 | しょうみ 【正味】 / 實質 內容,淨剩部分 ;淨重;實數; / 價,不折不扣的價格,批發價"
N2,ずれる,,285,left,23,1,blank_writing,ずれる,,"23 | ずれる / (自下一) (從原來或正確的位置)錯位 , / 動;離題',背離(主題、正路等)"
N2,そのころ,,285,left,24,1,blank_writing,そのころ,,"24 | そのころ / 起) 當時,那時 / い どうちゅう"
N2,ただちに,直ちに,285,left,25,,,ただちに,直ちに,"25 | ただちに【直ちに】 / 生 立即,立刻;直接,親自 / 臣困   しゅうどう"
N2,たちまち,,285,left,26,1,blank_writing,たちまち,,"26 | たちまち / 便) 轉眼間 一瞬間 ,很快 ,立刻;忽多 / 突然"
N2,たま,偶,285,left,28,1,duplicate_reading,たま,偶,"28 | たま【偶】 / 遙 偶爾,偶然;難得,少有 / き*うじつ  うれ"
N2,たらず,足らず,285,right,29,,,たらず,足らず,| 29 | たらず【足らず】 / H     ぷん た / | 加 10 分足らずで着く。
N2,ちかぢか,近々,285,right,01,,,ちかぢか,近々,"| s1 | ちかぢか【近々】 / ; 側 不久,近日,過幾天;靠的很近 / :   ちかちかおとず"
N2,つぶす,潰す,285,right,32,,,つぶす,潰す,"| 32 |つぶす【潰す】 / ' (5 毀壞,弄碎;熔毀,熔化;消磨, / | 消耗;宰殺;堵死,填滿"
N2,どうじ,同時,285,right,03,,,どうじ,同時,"| 3 |どうじ【同時】 / i (名・副・暖) 同時, 時間相同 : 同時代: / ; 同時,立刻;也,又,並且"
N2,とき,時,285,right,34,,,とき,時,"| 34 | とき【時】             ' / i @ 時間:(某個)時候:時期・時節 ・季婦 / i 情況,時候;時機,機會"
N2,とたん,途端,286,left,35,,,とたん,途端,"_ 35 | とたん【途端】         | 4 / ""89) 正曽...的時候 : 剛...的時 |, / 圏買った途端に後悔した。    1 和"
N2,ながい,永い,286,left,37,,,ながい,永い,"37 | ながい【永い】             i( / め (時間)長,長久 / なが 。 ねむ               : 【"
N2,ながびく,長引く,286,left,38,1,reading_auto_cleaned,ながびく人,長引く,"_ 38 | ながびく人【長引く】         1 ( / (唔) 拖長,延長          1"
N2,はつ,発,286,left,09,,,はつ,発,"。 9 |はつ【発】               六 / 多.&尾(交通工具等)開出 ,出發;(信、 ji! / 電報等) 發出;(助數詞用法) (計算子彈 i!"
N2,ふきそく,不規則,286,right,,,,ふきそく,不規則,"「 | ふきそく【不規則】 / -到) 不規則 ・無規律 ;不整齊,凌亂“_N2"
N2,ぶさた,無沙汰,286,right,,,,ぶさた,無沙汰,"| ぶさた【無沙汰】 / ・自サ) 久末通信,久違,久疏問候"
N2,ふだん,普段,286,right,03,,,ふだん,普段,"3 | ふだん【普段】 / 生平常,平日"
N2,まっさき,上真っ先,286,right,05,,,まっさき,上真っ先,"5 | まっさき【上真っ先】 / ) 最前面,首先,最先"
N2,まもなく,間も無く,286,right,05,,,まもなく,間も無く,5 | まもなく【間も無く】 / ) 馬上 ・ 一會見・不久
N2,やがて,,287,left,47,1,blank_writing,やがて,,"47 | やがて / 員 不久,馬上;幾乎,大約 ;歸根究械 / 亦即,就是"
N2,おひる,お昼,287,left,01,,,おひる,お昼,"01 | おひる 【お昼】 / @) 白天;中飯,午餐 / ひる   こんだて  よう い"
N2,がんじつ,元日,287,left,03,,,がんじつ,元日,03 | がんじつ【元日】 / @) 元旦 / がんじつ     えいぎょう
N2,がんたん,元旦,287,left,04,,,がんたん,元旦,04 | がんたん【元旦】 / 久) 元旦 / がんたん  はつもうで   い
N2,さきおととい,一昨昨日,287,left,05,,,さきおととい,一昨昨日,05 | さきおととい【一昨昨日】 / 多) 大前天・ 前三天 / さきおととい    人 宮と
N2,しき,四季,287,right,07,1,duplicate_reading,しき,四季,) | o7 | しき【四季】 / | / :    し き  あじ  中
N2,しゅう,週,287,right,08,1,duplicate_reading,しゅう,週,| os |しゅう【週 / | (・革 星期 ;一圈 / :   せんしゅう    ようつう ひど
N2,じゅう,中,287,right,09,1,duplicate_reading,じゅう,中,1 9 |じゅう【中】 / : (舊)期間 ; 表示整個期間或區域 / :     ねったい ち ほう   いちねんじゅうあつ
N2,しょじゅん,初旬,287,right,10,,,しょじゅん,初旬,| 10 |しょじゅん【初旬】 / | る)初旬・上旬 / :      がつ  しょじゅん こうよう         に
N2,しんねん,新年,287,right,01,,,しんねん,新年,| 1 | しんねん【新年】 / | る 新年 / 1    しんねん  むか
N2,せいれき,西暦,288,left,12,,,せいれき,西暦,12 | せいれき【西暦】                | / る 西居・西元
N2,せんせんげつ,先々月,288,left,13,,,せんせんげつ,先々月,"13 | せんせんげつ【先々月】          | / 本) 上上個月,前兩個月 / せんせんげつ   げ じゅん   い ず   い         3"
N2,せんせんしゅう,先々週,288,left,14,,,せんせんしゅう,先々週,14 | せんせんしゅう【先々週】 | / (本點) 上上週           | / せんせんしゅう      いた      つよ                 :
N2,つきひ,月日,288,left,45,,,つきひ,月日,45 | つきひ【月日】                   | / る 日奥月 ; 歳月・ 時光 : 日月・日期
N2,とうじつ,当日,288,left,16,,,とうじつ,当日,"16 | とうじつ【当日】                   | / 密-公) 當天,當日,那一天"
N2,としつき,年月,288,left,,,,としつき,年月,。 |としつき【年月】      | / 、 年和月・歳月・光陰: 長期*長年 / 、 羅月: 多年來
N2,にちじ,日時,288,right,08,,,にちじ,日時,8 | にちじ【日時】 / 8 (集會和出發的)日期時間                N2 / ゅっぱつ  にち じ    き
N2,にちや,日夜,288,right,00,,,にちや,日夜,0 | にちや【日夜】 / 名・副) 日夜 : 綿是経常不断地 / にち や けんきゅう   はげ
N2,にっちゅう,日中,288,right,01,,,にっちゅう,日中,"1 | にっちゅう【日中】 / ) 白天,畫間(指上午十點到下午三、 / 品點間) ; 日本與中國"
N2,にってい,日程,288,right,02,,,にってい,日程,2 | にってい【日程】 / g) (旅行 ヽ會議的)日程毎天的計書(安排) / にっでい    か
N2,ねんかん,年間,288,right,03,,,ねんかん,年間,"3 | ねんかん【年間】 / 名,漢造) 一年間: (年號使用)期間,年間 / ねんかんしょとく    すぐ"
N2,ねんげつ,年月,289,left,24,,,ねんげつ,年月,24 | ねんげつ【年月】 / る 年月・光除・時間 / 長い年月がたつ。
N2,ねんじゅう,年中,289,left,25,,,ねんじゅう,年中,"25 | ねんじゅう【年中】 / (名・副) 全年,整年;一年到頭,總是 / 団 年中無休にて営業しております"
N2,ねんど,年度,289,left,27,,,ねんど,年度,27 | ねんど【年度】 / @) (工作或學業)年度 / ねん ど    か
N2,はやおき,早起き,289,left,28,,,はやおき,早起き,28 | はやおき【早起き】 / 久) 早起 / はや お      にが て
N2,はんつき,半月,289,left,29,,,はんつき,半月,29 | はんつき【半月】 / 多) 半個月 : 半月形 : 上(下) 弦月 / はんつき
N2,はんにち,半日,289,left,30,,,はんにち,半日,30 | はんにち【半日】 / 久) 半天 / 288 | 季節、年、月、週、日 (2)
N2,ひがえり,日帰り,289,right,31,,,ひがえり,日帰り,| 31 |ひがえり【日帰り】 / ・ 上 (名・自め 當天回來 / | 遼日帰りの旅行がおすすめです.
N2,站也!,日付,289,right,32,1,unexpected_reading_chars;suspicious_reading,站也!,日付,",i32 |站也! [日付】 / | る)(報紙、新聞上的)日期 / “| 圏日付を入れる。"
N2,ひるすぎ,昼過ぎ,289,right,34,,,ひるすぎ,昼過ぎ,| 34 | ひるすぎ【昼過ぎ】 / | 會過午 / 8 3      ひる す
N2,ひるまえ,昼前,289,right,35,,,ひるまえ,昼前,| 35 | ひるまえ【昼前】 / ; @@ 上午 : 接折中午時分 / be   ひるまえ         なか
N2,へいせい,平成,289,right,36,,,へいせい,平成,36 | へいせい【平成】 / i @ 平成(日本年號) / ON   へいせい つぎ れいわ けっていいた
N2,まふゆ,真冬,290,left,37,,,まふゆ,真冬,"37 | まふゆ【真冬】             it / @ 隆冬,正冬天 ( / ま ふゆ れいすいよく        きた           :  5"
N2,譯天亮・1,40 | よなか【夜中,290,left,,1,unexpected_reading_chars;suspicious_reading;suspicious_writing,譯天亮・1,40 | よなか【夜中,譯 天亮・             1【 / 40 | よなか【夜中】                  和 / @ 半夜深夜・午夜
N2,よなか,夜中,290,left,40,,,よなか,夜中,40 | よなか【夜中】                  和 / @ 半夜深夜・午夜 / よ なか       お                                :(
N2,いこう,以降,290,left,01,,,いこう,以降,。 01 |いこう【以降】        1( / | 8以後之後           | / 「         がつ い こぅ                                  3
N2,いずれ,何れ,290,left,02,,,いずれ,何れ,"、 02 |いずれ【何れ】                  人 / 代-和哪個,哪方;反正,早晚,歸根 j| / 到底 ; 不久 , 最近,改日       才"
N2,いつか,何時か,290,right,,,,いつか,何時か,"| いつか【何時か】 / ' 末來的不定時間,改天;過去的不 IN2 / 時間 ' 以前;不知不覺"
N2,いつまでも,何時までも,290,right,,,,いつまでも,何時までも,"! | いつまでも【何時までも】 / ) 到什麼時候也...,始終,永遠 / わ"
N2,いらい,以来,290,right,05,1,duplicate_reading,いらい,以来,"5 | いらい【以来】 / ) 以來,以後 ;今後,將來 / う        い らい        い     つ"
N2,かこ,過去,290,right,05,,,かこ,過去,"5 | かこ【過去】 / ) 過去,往昔;(佛)前生,前世 / か こ  かえり"
N2,きんだい,近代,290,right,07,,,きんだい,近代,7 | きんだい【近代】 / ) 近代 ・現代(日本則意指明治維新之後) / きんだい か   すす
N2,げん,現,290,right,05,,,げん,現,5 |げん【現】 / 浜中) 現 ・ 現在的 / [   やちょう  かいちょう  しゅうにん
N2,げんざい,現在,291,left,09,,,げんざい,現在,"09 | げんざい【現在】 / ' 現在,目前,此時 / :              げんざい 。 いた"
N2,げんし,原始,291,left,10,,,げんし,原始,10 | げんし【原始】 / 包 原始 : 自然 / げんしりん ひろ
N2,げんじつ,現実,291,left,11,,,げんじつ,現実,"11 | げんじつ【現実】 / 包) 現實,實際           | / げんじつ    お"
N2,こん,今,291,left,12,1,duplicate_reading,こん,今,12 | こん【今】 / 現在 : 今天 今年 / こんにち   に ほん   ひつよう
N2,こんにち,今日,291,left,13,,,こんにち,今日,13 | こんにち【今日】 / る 今天 ・ 今日 : 現在 : 営今 / こんにち   いた
N2,さからう,逆らう,291,left,14,,,さからう,逆らう,"14 | さからう【逆らう】 / (旬五) 逆,反方向;人違背,違抗,抗# / 違荔"
N2,さきほど,先程,291,right,15,,,さきほど,先程,| 15 | さきほど【先程 / | 側剛オ・方オ / :   ききほど 。 み
N2,しょうらい,将来,291,right,16,,,しょうらい,将来,"| 16 |しょうらい【将来 / i (名・面・他す) 將來 ,未來 前途;(從外國) / ; 傳入;帶來,拿來;招致,引起"
N2,すえ,末,291,right,07,,,すえ,末,"| 7 |すえ【末】             ' / 1 @ 結尾,末了;末端,盡頭;將來, / ; 未來,前途;不重要的,瑣事;(排行)"
N2,せんご,戦後,291,right,08,,,せんご,戦後,| 8 | せんご【戦後】 / | @ 戦後 / mm償ご。ニはってん 、 、
N2,ちゅうせい,中世,291,right,19,1,duplicate_reading,ちゅうせい,中世,"| 19 | ちゅうせい【中世】 / i る) (歷史)中世紀,古代與近代之間(在 / ... 日本指鎌倉、室町時代)"
N2,とうじ,当時,291,right,20,,,とうじ,当時,| 20 |とうじ【当時】 / i (名.副) 現在・目前 : 営時・那時 / :   とうじ 。 おも だ
N2,のちほど,後程,292,left,21,,,のちほど,後程,21 | のちほど【後程】 / のちほど     、そうだん       _      4
N2,らい,来,292,left,23,,,らい,来,"23 |らい【来】                生 / (Wき (時間)下個,下一個      1! / らいねん がつ そつきょう             i 1"
N2,期間期限i,01 |いちじ【一時,292,left,,1,unexpected_reading_chars;suspicious_reading;suspicious_writing,期間期限i,。 01 |いちじ【一時,"期間 期限                i【 / 。 01 |いちじ【一時】          征 / 四-表) 某時期 ,一段時間;那時;暫時; ji0"
N2,いちじ,一時,292,left,01,,,いちじ,一時,"。 01 |いちじ【一時】          征 / 四-表) 某時期 ,一段時間;那時;暫時; ji0 / 一點鐘;同時,一下子                 1 G"
N2,えんちょう,延長,292,left,02,,,えんちょう,延長,"02 | えんちょう【延長】    no / 多.人延長, 延伸,擴展;全長 。 ji / き かん えんちょう               ーー"
N2,かぎり,限り,292,left,03,,,かぎり,限り,"、03 |かぎり【限り】         0o / | 2 限度,極限;(接在表示時間、範圍 |。"
N2,かぎる,限る,292,right,04,,,かぎる,限る,"4 | かぎる【限る】                    國 / Mt限定,限制;限於 ; 以...為限; 時 / 限・不一定 , 未必"
N2,きげん,期限,292,right,,1,duplicate_reading,きげん,期限,| きげん【期限】 / 期限 / き げん   き
N2,たんき,短期,292,right,,,,たんき,短期,|たんき【短期】 / 短期 / たん き   りゅうがくせい   きゅうぞう
N2,ちょうき,長期,292,right,,,,ちょうき,長期,|ちょうき【長期】 / 長期 る 長時間 / ちょう き
N2,ていきてき,定期的,292,right,,,,ていきてき,定期的,|ていきてき【定期的】 / 5) 定期・一定的期間 / てい き てき   おく
N2,いど,井戸,293,left,02,1,duplicate_reading,いど,井戸,02 | いど【井戸】 / る) 井
N2,がいしゅつ,外出,293,left,03,,,がいしゅつ,外出,03 | がいしゅつ【外出】 / (名・自ず) 出門・ 外出
N2,かえす,帰す,293,left,04,,,かえす,帰す,"04 | かえす【帰す】 / (他五) 讓“回去,打發回家"
N2,かおく,家屋,293,left,05,,,かおく,家屋,05 | かおく【家屋】 / かおく た なら
N2,くらし,暮らし,293,right,0e,,,くらし,暮らし,"oe | くらし【暮らし】 / | @ 度日,生活;生計,家境 / 1        た"
N2,じたく,自宅,293,right,07,,,じたく,自宅,| 07 | じたく【自宅】 / | 全 自己家・自己的住宅 / :   じ たく お レごと
N2,じゅうきょ,住居,293,right,08,,,じゅうきょ,住居,| os | じゅうきょ【住居】 / | る) 住所 ・ 住宅 / 日  じゅうきょ  い てん
N2,しゅうぜん,修繕,293,right,09,,,しゅうぜん,修繕,| 09 | しゅうぜん【修繕】 / | (名・他ず) 修繕・ 修理 / :  ふる  か おく  しゅうぜん
N2,じゅうたく,住宅,293,right,10,,,じゅうたく,住宅,| 10 | じゅうたく【住宅】 / 1 @) 住宅 / 5  じゅうたく みっしゅう
N2,じゅうたくち,住宅地,293,right,11,,,じゅうたくち,住宅地,| 11 | じゅうたくち【住宅地】 / i @ 住宅區 / i  かんせい 3太< ち
N2,スタート,start,294,left,42,,,スタート,start,"“142 |スタート【start】     1【 / 9) 起動,出發,開端;開始(新事 | / 回新生活磺入夕一上二名。    1!"
N2,たく,宅,294,left,13,,,たく,宅,13 | たく【宅】                ; 1 / る-革) 住所・ 自己家・宅邸 : (加接頭
N2,でかける,出かける,294,left,15,,,でかける,出かける,"15 | でかける【出かける】         it / 。 (軒つ 出門・出去・到...去 : 剛要走,′ je / 。 要出去 : 剛要..."
N2,とりこわす,取り壊す,294,left,16,,,とりこわす,取り壊す,。 16 | とりこわす【取り壊す】    1 / 。 (唔) 拆除
N2,のき,軒,294,left,07,,,のき,軒,。 7 |のき【軒】                 1 ( / | @必和             1」
N2,之3,別往,294,left,19,1,unexpected_reading_chars;suspicious_reading,之3,別往,19 |之3 [別往】            | / @ 別時
N2,ほうもん,訪問,294,right,,,,ほうもん,訪問,"| ほうもん【訪問】          回 / ・他サ) 訪問,拜訪                      住"
N2,あまど,雨戸,294,right,,,,あまど,雨戸,"| | あまど【雨戸】 / )(為防風防雨而罩在窗外的) 木板套 / ,滑窗"
N2,いしがき,石垣,294,right,02,,,いしがき,石垣,2 | いしがき【石垣】 / ) 石牆 / いしがき        いえ 。 す
N2,かきね,垣根,294,right,03,,,かきね,垣根,"3 | かきね【垣根】 / ) 禿色,柵欄,圍牆 / かき ね    と   はら"
N2,かわら,瓦,294,right,04,1,reading_auto_cleaned,かわら人,瓦,4 | かわら人【瓦】 / ) 過 / かわら  や ね   ふ
N2,すきま,隙間,295,left,05,,,すきま,隙間,05 | すきま【隙間】 / 」   る 空隙・隙継 : 空間・開中 / |    図際間ができる。
N2,すずむ,涼む,295,left,0e,,,すずむ,涼む,oe | すずむ【涼む】 / (邊五) 乗涼 ・ 納涼 / えんがわ   すず
N2,へい,堀,295,left,07,,,へい,堀,"07 | へい【堀】 / @) 圍牆,牆院,柵欄 / へい かたむ"
N2,ものおき,物置,295,left,08,,,ものおき,物置,"08 | ものおき【物置】 / @) 庫房',倉房 / ものおき   い"
N2,扎儿大,煉瓦,295,left,09,1,unexpected_reading_chars;suspicious_reading,扎儿大,煉瓦,"09 |扎儿大【煉瓦】 / @ 磚,紅磚 / れん が     う"
N2,あわ,泡,295,left,01,,,あわ,泡,"01 | あわ【泡】 / 名) 泡,沫,水花 / あわ   た"
N2,いた,板,295,right,02,,,いた,板,02 |いた【板】 / ; 木板;薄板;舞台 / 上    か 。 いた は
N2,かいてき,似適,295,right,08,,,かいてき,似適,"| os |かいてき【似適 / i (一) 舒適,暢快 愉快 / :   かいてき くうかん"
N2,かんき,換気,295,right,04,,,かんき,換気,"| 04 | かんき【換気】 / | (名・自他サ) 換氣,通風,使空氣流通 / :   まど  あ    かん き"
N2,きゃくま,客間,295,right,08,,,きゃくま,客間,| os |きゃくま【客間】 / : @ 客廳 / H   きゃく ま  とお
N2,圭杞(A,綺麗.奇麗,295,right,06,1,unexpected_reading_chars;suspicious_reading,圭杞(A,綺麗.奇麗,"| 06 |圭杞(A【綺麗.奇麗】 / | 18 好看 ,美麗;乾淨;完全徹底 ;清白, / i 純潔;正派,公正"
N2,ざしき,座敷,295,right,07,,,ざしき,座敷,"| 07 |ざしき【座敷】 / i @ 日本式客廳;酒席, 宴會,應酬; / 宴客的時間 : 接待客人"
N2,しく,敷く,295,right,08,,,しく,敷く,"| 08 | しく【敷く】 / i (自五人五) 鋪上一層,(作接尾詞用)鋪滿, / i 遍佈,落滿鋪墊,鋪設;布置,發佈"
N2,しょうじ,障子,296,left,00,,,しょうじ,障子,"o |しょうじ【障子】       和 / 生 日本式紙拉門,隔羽              1"
N2,しょくたく,食卓,296,left,10,,,しょくたく,食卓,10 | しょくたく【食卓】      【 / き 餐桌             1
N2,しょさい,書斎,296,left,11,,,しょさい,書斎,11 | しょさい【書斎】          馬 / 和 (個人家中的)書房・書齋     1【
N2,せんめん,洗面,296,left,12,,,せんめん,洗面,12 | せんめん【洗面】            『 / 、 人49 洗臉           : 3
N2,ちらかす,散らかす,296,left,13,,,ちらかす,散らかす,"。 13 |ちらかす【散らかす】        1 / ” (吧 弄得生華人本 : 到處亂放 ,亂扔。 6"
N2,ちらかる,散らかる,296,left,14,,,ちらかる,散らかる,"14 | ちらかる【散らかる】        1 2 / (旺. 凌亂 , 亂七八糟,到處都是        1"
N2,てあらい,手洗い,296,right,05,,,てあらい,手洗い,5 | てあらい【手洗い】 / 洗手洗手盆・洗手用的水洗手間 NZ / |手洗いに行く。              匣
N2,とこのま,床の間,296,right,05,,,とこのま,床の間,"5 | とこのま【床の間】 / ) 壁龕(牆身所留空間,傳統和室常有 / 設插花或是貴重的藝術品之特別空間)"
N2,ひっこむ,引っ込む,296,right,07,,,ひっこむ,引っ込む,"7 | ひっこむ【引っ込む】 / 五他五) 引退, 隱居;縮進,縮入; / 入,拉進;拉攏"
N2,ふう,風,296,right,03,,,ふう,風,3 | ふう【風】 / -匠様子 ・ 態度 : 風度: 習慣 : 情況 : / 向;打扮;風;風教;風景;因風得
N2,廊才未,袂,296,right,,1,unexpected_reading_chars;suspicious_reading;reading_auto_cleaned,人廊才未,袂,) |人廊才未【袂】 / 隔局 拉門 / ふすま   あ
N2,べんじょ,便所,297,left,21,,,べんじょ,便所,"21 | べんじょ【便所】 / “   廁所,便所 / 図便所へ行く。"
N2,未大<,跨<,297,left,22,1,unexpected_reading_chars;suspicious_reading;suspicious_writing,未大<,跨<,"22 |未大<【跨<】 / (4五) 跨立,叉開腿站立;跨過,跨志 / しき い"
N2,めいめい,銘々,297,left,23,,,めいめい,銘々,23 | めいめい【銘々】 / 各.及) 各自 毎個人 / めいめい  へ や
N2,ものおと,物音,297,left,24,,,ものおと,物音,"24 | ものおと【物音】 / る 響聲,響動,聲音 / ものおと"
N2,やぶく,破く,297,left,25,,,やぶく,破く,"25 | やぶく【破く】 / (4五) 撕破 ,弄破 / しょう じ   やぶ"
N2,うすぐらい,薄暗い,297,left,01,,,うすぐらい,薄暗い,01 | うすぐらい【薄暗い】 / 和O) 微暗的 ・ 陰暗的 / うすぐら  へ や   と   こ
N2,かしま,貸問,297,right,02,,,かしま,貸問,i02 | かしま【貸問】 / i @) 出租的房間 / :    かし ま   さが
N2,かしや,貸家,297,right,03,,,かしや,貸家,| 03 | かしや【貸家】 / | る) 出租的房子 / :   かしや  。 こうこく
N2,かす,貸す,297,right,04,,,かす,貸す,"| 04 | かす【貸す】 / i (五) 借出,出借;出租;提出策劃 / へ や   か"
N2,げしゅく,下宿,297,right,05,,,げしゅく,下宿,| 5 | げしゅく【下宿】 / i (名・自の 租屋 : 住宿 / 5        いえ  げ しゅ
N2,すまい,住まい,297,right,06,,,すまい,住まい,"| 06 | すまい【住まい】 / | る) 居住;住處,寓所;地址 / :    ひとりず        ふ あん"
N2,だんち,団地,297,right,07,,,だんち,団地,"i 07 | だんち【団地】 / i @ (為發展產業而成片劃出的)工業區, / i (有計畫的集中建立住房的)住宅區"
N2,おうせい,吐盛,298,left,02,,,おうせい,吐盛,。 02 | おうせい【吐盛】       | / 7 旺盛             1 / しょくよく   おうせい
N2,おかわり,お代わり,298,left,09,,,おかわり,お代わり,9 |おかわり【お代わり】          [ / | -B9?) (酒、飯等)再來一杯、一碗 / はん    か                 |
N2,加已卅,器3,298,left,09,1,unexpected_reading_chars;suspicious_reading,加已卅,器3,"9 |加已卅【器3】                 | / | ( 咬,啃;一知半解                : / き   み                     生"
N2,カロリー,calorie,298,left,65,,,カロリー,calorie,"。 65 | カロリー【calorie】               | / 名 (熱量單位)卡,卡路里;(食品營養 | / 價值單位)卡,太卡          i"
N2,くう,食う,298,right,06,,,くう,食う,"6 |くう【食う】 / s五)(俗)吃',(蟲)咬 / めし    く"
N2,こうきゅう,高級,298,right,07,,,こうきゅう,高級,7 | こうきゅう【高級】 / ・形動) (級別)高高級 : (等級程度)高 / こうきゅう   りょう り   たの
N2,こえる,肥える,298,right,08,,,こえる,肥える,"8 | こえる【肥える】 / ョ下ー) 肥 用土地肥浜:豊富:(識別力) / 高,(鑑賞力)強"
N2,世衝万寢,獻立,298,right,09,1,unexpected_reading_chars;suspicious_reading,世衝万寢,獻立,9|世衝万寢【獻立】 / 5) 菜單 / こんだて   5そ                                    ド
N2,さしみ,刺身,298,right,00,,,さしみ,刺身,0 | さしみ【刺身】 / ) 生魚片 / さしみ    にが て   ュ
N2,さっぱり,,299,left,11,1,blank_writing,さっぱり,,"11 |さっぱり         1 / (名・他ヶ) 整潔,俐落,滿濕;)(個性/E / 爽,坦率;(威覺)爽快,病癒'(味道"
N2,しおからい,塩辛い,299,left,12,,,しおからい,塩辛い,12 | しおからい【塩辛い】 / 吧 鹹的 / あじ  しおから
N2,しつこい,,299,left,13,1,blank_writing,しつこい,,"13 | しつこい / 蝴 (色香味等)過於濃的,油膩 : 執近 / 糾纏不休"
N2,じょう,上,299,left,15,,,じょう,上,15 | じょう【上】 / (名・江造) 上等 : (書籍的)上巻 : 上部 / 上面 : 上好的・上等的
N2,じょうひん,上品,299,left,16,1,reading_auto_cleaned,じょうひん人,上品,"16 | じょうひん人【上品】 / (名・形動) 高級品 ',上等貨;莊重,高雅 / 優雅"
N2,しょくせいかつ,食生活,299,right,17,,,しょくせいかつ,食生活,| 17 | しょくせいかつ【食生活】 / :    しょくせいかつ ゆた / | 圏食生活が豊かになった。
N2,しょくよく,食欲,299,right,08,,,しょくよく,食欲,| 8 |しょくよく【食欲】 / i @ 食慾 / :    しょくよく
N2,そのまま,,299,right,09,1,blank_writing,そのまま,,"1 9 |そのまま / | 會 照樣的,按照原樣;(不經過一般順 / i 序、步驟)就那樣,馬上,立刻 ;非當"
N2,そまつ,粗末,299,right,20,,,そまつ,粗末,"“| 20 | そまつ【粗末】 / | 一) 粗糖,不精緻;疏忽,簡慢;糟中 / :     そまつ しょくじ"
N2,ちゅうしょく,昼食,299,right,01,,,ちゅうしょく,昼食,"“| 1 |ちゅうしょく【昼食】 / | @ 午飯,午餐,中飯,中餐 / ゅうしょく"
N2,ちょうしょく,朝食,299,right,22,,,ちょうしょく,朝食,| 22 | ちょうしょく【朝食】 / i @ 早餐 / :    ちょうしょく                    す
N2,ついか,追加,300,left,03,,,ついか,追加,"。 z3 |ついか【追加】             1 / やり 追加,添付,補上          1 ( / 団料理を追加する。       | |"
N2,つぐ,注ぐ,300,left,24,,,つぐ,注ぐ,24 |つぐ【注ぐ】               1 / (fi 注入・詩・倒入(茶、酒等)   1 ( / ちゃ  っ                   H
